Alkaline,Cell,Country,Electrolyser,H2_production,Iteration,LCOH,Onshore,PEM,PV,System,Year
1.0,ITA_ITC2,ITA,Alkaline,58140.094654626766,1107,6.338408105236047,1.6129032258064513,1.0,,Onshore,2030
1.0,ITA_ITC2,ITA,PEM,71903.85192365391,1108,10.196794748901317,2.564102564102565,1.0,,Onshore,2030
1.0,ITA_ITC2,ITA,Alkaline,53516.04583535276,1105,5.038361261885912,,1.0,1.9230769230769231,PV,2030
1.0,ITA_ITC2,ITA,PEM,57232.604029633745,1106,9.379511918971303,,1.0,2.5641025641025648,PV,2030
1.0,ITA_ITC2,ITA,Alkaline,56645.20560627496,1115,4.486878241633871,0.05714285714285773,1.0,2.0,Hybrid,2040
1.0,ITA_ITC2,ITA,PEM,84500.41711488222,1116,7.29471673682981,1.2195121951219499,1.0,1.956891661939874,Hybrid,2040
1.0,ITA_ITC2,ITA,Alkaline,58786.41306753627,1113,6.206524247169022,1.6393442622950825,1.0,,Onshore,2040
1.0,ITA_ITC2,ITA,PEM,69966.2136945402,1114,9.647626317664493,2.439024390243902,1.0,,Onshore,2040
1.0,ITA_ITC2,ITA,Alkaline,55297.34197909588,1111,4.487394171613929,,1.0,2.0408163265306123,PV,2040
1.0,ITA_ITC2,ITA,PEM,57785.38774930126,1112,8.225489574277818,,1.0,2.6315789473684217,PV,2040
1.0,ITA_ITC3,ITA,Alkaline,49480.57605760576,1121,6.661510414936338,,1.0,1.9999999999999998,Hybrid,2020
1.0,ITA_ITC3,ITA,PEM,55086.420804242574,1122,12.326481108912489,,1.0,2.702702702702703,Hybrid,2020
1.0,ITA_ITC3,ITA,Alkaline,49160.36603660367,1119,17.161991936182492,4.166666666666668,1.0,,Onshore,2020
1.0,ITA_ITC3,ITA,PEM,64818.20057005701,1120,22.793238309046945,6.249999999999998,1.0,,Onshore,2020
1.0,ITA_ITC3,ITA,Alkaline,49480.576057605766,1117,6.661510414936337,,1.0,1.9999999999999996,PV,2020
1.0,ITA_ITC3,ITA,PEM,55086.42080424259,1118,12.326481108912487,,1.0,2.7027027027027035,PV,2020
1.0,ITA_ITC3,ITA,Alkaline,52932.709270927095,1127,5.209339274650742,,1.0,1.9999999999999993,Hybrid,2030
1.0,ITA_ITC3,ITA,PEM,56285.10351035104,1128,9.632647308842964,,1.0,2.631578947368421,Hybrid,2030
1.0,ITA_ITC3,ITA,Alkaline,49206.43218167971,1125,14.570722319658618,3.8461538461538463,1.0,,Onshore,2030
1.0,ITA_ITC3,ITA,PEM,61517.651765176524,1126,19.505810549911367,5.555555555555558,1.0,,Onshore,2030
1.0,ITA_ITC3,ITA,Alkaline,52932.7092709271,1123,5.209339274650742,,1.0,2.0,PV,2030
1.0,ITA_ITC3,ITA,PEM,56285.10351035104,1124,9.632647308842964,,1.0,2.6315789473684212,PV,2030
1.0,ITA_ITC3,ITA,Alkaline,54128.58160816081,1133,4.634817525970337,,1.0,2.0833333333333326,Hybrid,2040
1.0,ITA_ITC3,ITA,PEM,56849.186269978345,1134,8.441432037653307,,1.0,2.702702702702702,Hybrid,2040
1.0,ITA_ITC3,ITA,Alkaline,50845.94059405941,1131,14.199569180787815,3.9999999999999996,1.0,,Onshore,2040
1.0,ITA_ITC3,ITA,PEM,61517.65176517653,1132,18.636813559039524,5.555555555555557,1.0,,Onshore,2040
1.0,ITA_ITC3,ITA,Alkaline,54128.58160816082,1129,4.634817525970337,,1.0,2.083333333333333,PV,2040
1.0,ITA_ITC3,ITA,PEM,56849.18626997835,1130,8.441432037653307,,1.0,2.702702702702703,PV,2040
1.0,ITA_ITC4,ITA,Alkaline,48512.83107034107,1139,7.035833390509514,,1.0,2.1276595744680846,Hybrid,2020
1.0,ITA_ITC4,ITA,PEM,84118.0472213888,1140,11.593670424199338,2.0833333333333286,1.0,2.129629629629633,Hybrid,2020
1.0,ITA_ITC4,ITA,Alkaline,63244.4009106793,1137,10.096116507840021,2.941176470588235,1.0,,Onshore,2020
1.0,ITA_ITC4,ITA,PEM,78107.81078107812,1138,14.449632776090745,4.166666666666668,1.0,,Onshore,2020
1.0,ITA_ITC4,ITA,Alkaline,48512.83107034108,1135,7.035833390509514,,1.0,2.1276595744680855,PV,2020
1.0,ITA_ITC4,ITA,PEM,53987.720200591495,1136,12.839801656820043,,1.0,2.8571428571428563,PV,2020
1.0,ITA_ITC4,ITA,Alkaline,51260.91359135914,1145,5.50838541947642,,1.0,2.0833333333333335,Hybrid,2030
1.0,ITA_ITC4,ITA,PEM,81766.63796814466,1146,9.504846960270383,1.739130434782608,1.0,2.1739130434782625,Hybrid,2030
1.0,ITA_ITC4,ITA,Alkaline,64727.32273227325,1143,8.501432878720738,2.7777777777777795,1.0,,Onshore,2030
1.0,ITA_ITC4,ITA,PEM,78551.82718271829,1144,12.186062334050925,4.000000000000001,1.0,,Onshore,2030
1.0,ITA_ITC4,ITA,Alkaline,51260.913591359145,1141,5.5083854194764195,,1.0,2.0833333333333335,PV,2030
1.0,ITA_ITC4,ITA,PEM,55111.086108610856,1142,10.048603358771391,,1.0,2.777777777777778,PV,2030
1.0,ITA_ITC4,ITA,Alkaline,53178.09780978096,1151,4.8856783809962465,,1.0,2.222222222222222,Hybrid,2040
1.0,ITA_ITC4,ITA,PEM,75736.90661874409,1152,8.63703091830366,1.2671232876712326,1.0,2.4315068493150687,Hybrid,2040
1.0,ITA_ITC4,ITA,Alkaline,64727.32273227323,1149,8.297711687607597,2.7777777777777763,1.0,,Onshore,2040
1.0,ITA_ITC4,ITA,PEM,76576.35186595582,1150,11.594805345334795,3.8461538461538454,1.0,,Onshore,2040
1.0,ITA_ITC4,ITA,Alkaline,53178.09780978097,1147,4.8856783809962465,,1.0,2.2222222222222228,PV,2040
1.0,ITA_ITC4,ITA,PEM,55715.32724701042,1148,8.79154662975883,,1.0,2.8571428571428568,PV,2040
1.0,ITA_ITF1,ITA,Alkaline,50269.070657065706,1157,6.709124244266305,,1.0,2.083333333333333,Hybrid,2020
1.0,ITA_ITF1,ITA,PEM,71634.88043692031,1158,11.75258456122517,1.204819277108435,1.0,2.2793878215565004,Hybrid,2020
1.0,ITA_ITF1,ITA,Alkaline,41514.074936905454,1155,11.427022879041937,1.96078431372549,1.0,,Onshore,2020
1.0,ITA_ITF1,ITA,PEM,54749.426555558784,1156,17.737266822337585,3.225806451612904,1.0,,Onshore,2020
1.0,ITA_ITF1,ITA,Alkaline,50269.07065706571,1153,6.709124244266305,,1.0,2.0833333333333335,PV,2020
1.0,ITA_ITF1,ITA,PEM,56125.43397196863,1154,12.350766118997644,,1.0,2.8571428571428568,PV,2020
1.0,ITA_ITF1,ITA,Alkaline,53151.50902845386,1163,5.248904721394014,,1.0,2.0408163265306123,Hybrid,2030
1.0,ITA_ITF1,ITA,PEM,70142.32022571344,1164,9.474445823837764,0.9463722397476342,1.0,2.3133543638275524,Hybrid,2030
1.0,ITA_ITF1,ITA,Alkaline,42666.199953328665,1161,9.510968552549409,1.8518518518518519,1.0,,Onshore,2030
1.0,ITA_ITF1,ITA,PEM,53627.05829406469,1162,14.769056858551062,2.941176470588233,1.0,,Onshore,2030
