Alkaline,Cell,Country,Electrolyser,H2_production,Iteration,LCOH,Onshore,PEM,PV,System,Year
1.0,FRA_FR24,FRA,Alkaline,83764.60614521561,77,6.5559021925809935,1.5769944341372923,1.0,1.5151515151515078,Hybrid,2020
1.0,FRA_FR24,FRA,PEM,103627.49117154216,78,9.802838321701605,2.564102564102562,1.0,1.6949152542372887,Hybrid,2020
1.0,FRA_FR24,FRA,Alkaline,74441.04410441042,75,7.193096025975416,2.3255813953488373,1.0,,Onshore,2020
1.0,FRA_FR24,FRA,PEM,93362.35347672699,76,10.80048180216993,3.448275862068965,1.0,,Onshore,2020
1.0,FRA_FR24,FRA,Alkaline,44702.54025402541,73,7.829618722272743,,1.0,2.2222222222222228,PV,2020
1.0,FRA_FR24,FRA,PEM,51072.490061506156,74,14.053890936421388,,1.0,3.1250000000000004,PV,2020
1.0,FRA_FR24,FRA,Alkaline,85378.04851913762,83,5.506981949791332,1.3888888888888868,1.0,1.5873015873015857,Hybrid,2030
1.0,FRA_FR24,FRA,PEM,102824.24842484255,84,8.241856535101856,2.32558139534884,1.0,1.7209302325581408,Hybrid,2030
1.0,FRA_FR24,FRA,Alkaline,76996.0596059606,81,6.154094366187855,2.222222222222222,1.0,,Onshore,2030
1.0,FRA_FR24,FRA,PEM,92633.96823553323,82,9.185790895019464,3.225806451612903,1.0,,Onshore,2030
1.0,FRA_FR24,FRA,Alkaline,47205.67056705671,79,6.279599566668264,,1.0,2.1739130434782603,PV,2030
1.0,FRA_FR24,FRA,PEM,51410.69253984221,80,11.202372122485977,,1.0,2.941176470588233,PV,2030
1.0,FRA_FR24,FRA,Alkaline,82877.35403602128,89,5.082298236081102,1.2125371768474014,1.0,1.784488675360333,Hybrid,2040
1.0,FRA_FR24,FRA,PEM,100532.07705136837,90,7.546033851216029,2.1276595744680806,1.0,1.8963922294172069,Hybrid,2040
1.0,FRA_FR24,FRA,Alkaline,78297.58203093037,87,5.967674927978917,2.272727272727273,1.0,,Onshore,2040
1.0,FRA_FR24,FRA,PEM,92633.96823553322,88,8.670423022952637,3.2258064516129017,1.0,,Onshore,2040
1.0,FRA_FR24,FRA,Alkaline,49072.090930023245,85,5.512625005448759,,1.0,2.3255813953488373,PV,2040
1.0,FRA_FR24,FRA,PEM,52706.80974347435,86,9.72247478538946,,1.0,3.1250000000000004,PV,2040
1.0,FRA_FR25,FRA,Alkaline,91474.94923069933,95,5.822861493463472,1.6393442622950831,1.0,1.2214721954355532,Hybrid,2020
1.0,FRA_FR25,FRA,PEM,107340.20581672217,96,8.869524149943667,2.32558139534884,1.0,1.4349332013854488,Hybrid,2020
1.0,FRA_FR25,FRA,Alkaline,81214.02452745273,93,6.093836911828187,2.0833333333333335,1.0,,Onshore,2020
