Zone_import,Zone_demand
ITA_IMPP2,LVA_DEM01
ITA_IMPP2,LTU_DEM01
ITA_IMPP2,LUX_DEM01
ITA_IMPP2,NLD_DEM01
ITA_IMPP2,POL_DEM01
ITA_IMPP2,PRT_DEM01
ITA_IMPP2,ROU_DEM01
ITA_IMPP2,SVK_DEM01
ITA_IMPP2,SVN_DEM01
ITA_IMPP2,ESP_DEM01
ITA_IMPP2,SWE_DEM01
ITA_IMPP2,GBR_DEM01
ITA_IMPP2,NOR_DEM01
ITA_IMPP2,CHE_DEM01
LTU_IMPP1,AUT_DEM01
LTU_IMPP1,BEL_DEM01
LTU_IMPP1,BGR_DEM01
LTU_IMPP1,HRV_DEM01
LTU_IMPP1,CZE_DEM01
LTU_IMPP1,DNK_DEM01
LTU_IMPP1,EST_DEM01
LTU_IMPP1,FIN_DEM01
LTU_IMPP1,FRA_DEM01
LTU_IMPP1,DEU_DEM01
LTU_IMPP1,GRC_DEM01
LTU_IMPP1,HUN_DEM01
LTU_IMPP1,ITA_DEM01
LTU_IMPP1,LVA_DEM01
LTU_IMPP1,LTU_DEM01
LTU_IMPP1,LUX_DEM01
LTU_IMPP1,NLD_DEM01
LTU_IMPP1,POL_DEM01
LTU_IMPP1,PRT_DEM01
LTU_IMPP1,ROU_DEM01
LTU_IMPP1,SVK_DEM01
LTU_IMPP1,SVN_DEM01
LTU_IMPP1,ESP_DEM01
LTU_IMPP1,SWE_DEM01
LTU_IMPP1,GBR_DEM01
LTU_IMPP1,NOR_DEM01
LTU_IMPP1,CHE_DEM01
POL_IMPP1,AUT_DEM01
POL_IMPP1,BEL_DEM01
POL_IMPP1,BGR_DEM01
POL_IMPP1,HRV_DEM01
POL_IMPP1,CZE_DEM01
POL_IMPP1,DNK_DEM01
POL_IMPP1,EST_DEM01
POL_IMPP1,FIN_DEM01
POL_IMPP1,FRA_DEM01
POL_IMPP1,DEU_DEM01
POL_IMPP1,GRC_DEM01
POL_IMPP1,HUN_DEM01
POL_IMPP1,ITA_DEM01
