Zone_export,Zone_import,Transport_international_mode,Unit,Transport_international_distance
URY_EXP01,MLT_IMP01,Sea,[1000km],12.553
URY_EXP01,ROU_IMP01,Sea,[1000km],14.448
URY_EXP01,SVN_IMP01,Sea,[1000km],13.884
URY_EXP01,SWE_IMP01,Sea,[1000km],12.955
URY_EXP01,NOR_IMP01,Sea,[1000km],12.999
URY_EXP01,BEL_IMP01,Sea,[1000km],12.292
URY_EXP01,CYP_IMP01,Sea,[1000km],14.546
URY_EXP01,ESP_IMP01,Sea,[1000km],10.707
URY_EXP01,FRA_IMP01,Sea,[1000km],11.778
URY_EXP01,GBR_IMP01,Sea,[1000km],12.003
URY_EXP01,GRC_IMP01,Sea,[1000km],13.509
URY_EXP01,HRV_IMP01,Sea,[1000km],13.819
URY_EXP01,ITA_IMP01,Sea,[1000km],12.073
URY_EXP01,LTU_IMP01,Sea,[1000km],13.934
URY_EXP01,NLD_IMP01,Sea,[1000km],12.234
URY_EXP01,POL_IMP01,Sea,[1000km],13.791
URY_EXP01,PRT_IMP01,Sea,[1000km],10.784
USA_EXP01,BGR_IMP01,Sea,[1000km],12.052
USA_EXP01,DNK_IMP01,Sea,[1000km],8.663
USA_EXP01,EST_IMP01,Sea,[1000km],9.276
USA_EXP01,FIN_IMP01,Sea,[1000km],9.298
USA_EXP01,DEU_IMP01,Sea,[1000km],8.323
USA_EXP01,IRL_IMP01,Sea,[1000km],7.345
USA_EXP01,LVA_IMP01,Sea,[1000km],9.063
USA_EXP01,MLT_IMP01,Sea,[1000km],10.451
USA_EXP01,ROU_IMP01,Sea,[1000km],12.354
USA_EXP01,SVN_IMP01,Sea,[1000km],11.913
USA_EXP01,SWE_IMP01,Sea,[1000km],8.166
USA_EXP01,NOR_IMP01,Sea,[1000km],7.943
USA_EXP01,BEL_IMP01,Sea,[1000km],8.107
USA_EXP01,CYP_IMP01,Sea,[1000km],12.648
USA_EXP01,ESP_IMP01,Sea,[1000km],8.605
USA_EXP01,FRA_IMP01,Sea,[1000km],9.676
USA_EXP01,GBR_IMP01,Sea,[1000km],7.771
USA_EXP01,GRC_IMP01,Sea,[1000km],11.407
USA_EXP01,HRV_IMP01,Sea,[1000km],11.833
USA_EXP01,ITA_IMP01,Sea,[1000km],9.971
USA_EXP01,LTU_IMP01,Sea,[1000km],9.248
USA_EXP01,NLD_IMP01,Sea,[1000km],8.053
USA_EXP01,POL_IMP01,Sea,[1000km],9.144
USA_EXP01,PRT_IMP01,Sea,[1000km],7.948
ARE_EXP01,BGR_IMP01,Sea,[1000km],7.154
ARE_EXP01,DNK_IMP01,Sea,[1000km],13.073
ARE_EXP01,EST_IMP01,Sea,[1000km],13.84
ARE_EXP01,FIN_IMP01,Sea,[1000km],13.857
ARE_EXP01,DEU_IMP01,Sea,[1000km],12.442
ARE_EXP01,IRL_IMP01,Sea,[1000km],11.695
ARE_EXP01,LVA_IMP01,Sea,[1000km],13.687
ARE_EXP01,MLT_IMP01,Sea,[1000km],6.989
ARE_EXP01,ROU_IMP01,Sea,[1000km],7.449
ARE_EXP01,SVN_IMP01,Sea,[1000km],7.462
ARE_EXP01,SWE_IMP01,Sea,[1000km],12.835
ARE_EXP01,NOR_IMP01,Sea,[1000km],12.82
ARE_EXP01,BEL_IMP01,Sea,[1000km],12.041
ARE_EXP01,CYP_IMP01,Sea,[1000km],6.124
ARE_EXP01,ESP_IMP01,Sea,[1000km],8.993
ARE_EXP01,FRA_IMP01,Sea,[1000km],7.581
ARE_EXP01,GBR_IMP01,Sea,[1000km],11.603
ARE_EXP01,GRC_IMP01,Sea,[1000km],6.399
ARE_EXP01,HRV_IMP01,Sea,[1000km],7.389
ARE_EXP01,ITA_IMP01,Sea,[1000km],7.259
ARE_EXP01,LTU_IMP01,Sea,[1000km],13.666
ARE_EXP01,NLD_IMP01,Sea,[1000km],11.976
ARE_EXP01,POL_IMP01,Sea,[1000km],13.444
ARE_EXP01,PRT_IMP01,Sea,[1000km],9.535
UKR_EXP01,BGR_IMP01,Sea,[1000km],0.489
UKR_EXP01,DNK_IMP01,Sea,[1000km],7.405
UKR_EXP01,EST_IMP01,Sea,[1000km],8.068
UKR_EXP01,FIN_IMP01,Sea,[1000km],8.084
UKR_EXP01,DEU_IMP01,Sea,[1000km],6.65
UKR_EXP01,IRL_IMP01,Sea,[1000km],6.21
UKR_EXP01,LVA_IMP01,Sea,[1000km],7.912
UKR_EXP01,MLT_IMP01,Sea,[1000km],2.087
UKR_EXP01,ROU_IMP01,Sea,[1000km],0.317
UKR_EXP01,SVN_IMP01,Sea,[1000km],2.807
UKR_EXP01,SWE_IMP01,Sea,[1000km],7.059
UKR_EXP01,NOR_IMP01,Sea,[1000km],7.095
UKR_EXP01,BEL_IMP01,Sea,[1000km],6.395
UKR_EXP01,CYP_IMP01,Sea,[1000km],2.17
UKR_EXP01,ESP_IMP01,Sea,[1000km],3.912
UKR_EXP01,FRA_IMP01,Sea,[1000km],3.171
UKR_EXP01,GBR_IMP01,Sea,[1000km],6.044
UKR_EXP01,GRC_IMP01,Sea,[1000km],1.244
UKR_EXP01,HRV_IMP01,Sea,[1000km],2.743
UKR_EXP01,ITA_IMP01,Sea,[1000km],2.639
UKR_EXP01,LTU_IMP01,Sea,[1000km],7.992
UKR_EXP01,NLD_IMP01,Sea,[1000km],6.337
UKR_EXP01,POL_IMP01,Sea,[1000km],7.81
UKR_EXP01,PRT_IMP01,Sea,[1000km],4.487
TUR_EXP01,BGR_IMP01,Sea,[1000km],0.128
TUR_EXP01,DNK_IMP01,Sea,[1000km],6.721
TUR_EXP01,EST_IMP01,Sea,[1000km],7.337
TUR_EXP01,FIN_IMP01,Sea,[1000km],7.353
TUR_EXP01,DEU_IMP01,Sea,[1000km],5.92
TUR_EXP01,IRL_IMP01,Sea,[1000km],5.563
TUR_EXP01,LVA_IMP01,Sea,[1000km],7.181
TUR_EXP01,MLT_IMP01,Sea,[1000km],1.391
TUR_EXP01,ROU_IMP01,Sea,[1000km],0.391
TUR_EXP01,SVN_IMP01,Sea,[1000km],2.152
TUR_EXP01,SWE_IMP01,Sea,[1000km],6.328
TUR_EXP01,NOR_IMP01,Sea,[1000km],6.371
TUR_EXP01,BEL_IMP01,Sea,[1000km],5.664
TUR_EXP01,CYP_IMP01,Sea,[1000km],1.508
TUR_EXP01,ESP_IMP01,Sea,[1000km],3.22
TUR_EXP01,FRA_IMP01,Sea,[1000km],2.434
TUR_EXP01,GBR_IMP01,Sea,[1000km],5.376
TUR_EXP01,GRC_IMP01,Sea,[1000km],0.592
TUR_EXP01,HRV_IMP01,Sea,[1000km],2.088
TUR_EXP01,ITA_IMP01,Sea,[1000km],2.047
TUR_EXP01,LTU_IMP01,Sea,[1000km],7.307
TUR_EXP01,NLD_IMP01,Sea,[1000km],5.606
TUR_EXP01,POL_IMP01,Sea,[1000km],7.162
TUR_EXP01,PRT_IMP01,Sea,[1000km],3.876
TUN_EXP01,BGR_IMP01,Sea,[1000km],2.054
TUN_EXP01,DNK_IMP01,Sea,[1000km],4.916
TUN_EXP01,EST_IMP01,Sea,[1000km],5.532
TUN_EXP01,FIN_IMP01,Sea,[1000km],5.548
TUN_EXP01,DEU_IMP01,Sea,[1000km],4.114
TUN_EXP01,IRL_IMP01,Sea,[1000km],3.741
TUN_EXP01,LVA_IMP01,Sea,[1000km],5.376
TUN_EXP01,MLT_IMP01,Sea,[1000km],0.345
TUN_EXP01,ROU_IMP01,Sea,[1000km],2.315
TUN_EXP01,SVN_IMP01,Sea,[1000km],1.726
TUN_EXP01,SWE_IMP01,Sea,[1000km],4.523
TUN_EXP01,NOR_IMP01,Sea,[1000km],4.566
TUN_EXP01,BEL_IMP01,Sea,[1000km],3.859
TUN_EXP01,CYP_IMP01,Sea,[1000km],2.167
TUN_EXP01,ESP_IMP01,Sea,[1000km],1.414
TUN_EXP01,FRA_IMP01,Sea,[1000km],0.754
TUN_EXP01,GBR_IMP01,Sea,[1000km],3.57
TUN_EXP01,GRC_IMP01,Sea,[1000km],1.355
TUN_EXP01,HRV_IMP01,Sea,[1000km],1.663
TUN_EXP01,ITA_IMP01,Sea,[1000km],0.574
TUN_EXP01,LTU_IMP01,Sea,[1000km],5.501
TUN_EXP01,NLD_IMP01,Sea,[1000km],3.801
TUN_EXP01,POL_IMP01,Sea,[1000km],5.34
TUN_EXP01,PRT_IMP01,Sea,[1000km],2.033
TTO_EXP01,BGR_IMP01,Sea,[1000km],9.334
TTO_EXP01,DNK_IMP01,Sea,[1000km],7.356
TTO_EXP01,EST_IMP01,Sea,[1000km],7.969
TTO_EXP01,FIN_IMP01,Sea,[1000km],7.991
TTO_EXP01,DEU_IMP01,Sea,[1000km],6.279
TTO_EXP01,IRL_IMP01,Sea,[1000km],5.896
TTO_EXP01,LVA_IMP01,Sea,[1000km],7.756
TTO_EXP01,MLT_IMP01,Sea,[1000km],7.733
TTO_EXP01,ROU_IMP01,Sea,[1000km],9.636
TTO_EXP01,SVN_IMP01,Sea,[1000km],9.194
TTO_EXP01,SWE_IMP01,Sea,[1000km],6.859
TTO_EXP01,NOR_IMP01,Sea,[1000km],6.964
TTO_EXP01,BEL_IMP01,Sea,[1000km],6.046
TTO_EXP01,CYP_IMP01,Sea,[1000km],10.249
TTO_EXP01,ESP_IMP01,Sea,[1000km],5.886
TTO_EXP01,FRA_IMP01,Sea,[1000km],6.958
TTO_EXP01,GBR_IMP01,Sea,[1000km],5.806
TTO_EXP01,GRC_IMP01,Sea,[1000km],8.689
TTO_EXP01,HRV_IMP01,Sea,[1000km],9.115
TTO_EXP01,ITA_IMP01,Sea,[1000km],7.253
TTO_EXP01,LTU_IMP01,Sea,[1000km],7.941
TTO_EXP01,NLD_IMP01,Sea,[1000km],5.979
TTO_EXP01,POL_IMP01,Sea,[1000km],7.837
TTO_EXP01,PRT_IMP01,Sea,[1000km],4.92
TON_EXP01,BGR_IMP01,Sea,[1000km],19.639
TON_EXP01,DNK_IMP01,Sea,[1000km],19.079
TON_EXP01,EST_IMP01,Sea,[1000km],19.691
TON_EXP01,FIN_IMP01,Sea,[1000km],19.713
TON_EXP01,DEU_IMP01,Sea,[1000km],18.003
TON_EXP01,IRL_IMP01,Sea,[1000km],17.621
TON_EXP01,LVA_IMP01,Sea,[1000km],19.478
TON_EXP01,MLT_IMP01,Sea,[1000km],19.474
TON_EXP01,ROU_IMP01,Sea,[1000km],19.937
TON_EXP01,SVN_IMP01,Sea,[1000km],19.947
TON_EXP01,SWE_IMP01,Sea,[1000km],18.583
TON_EXP01,NOR_IMP01,Sea,[1000km],18.687
TON_EXP01,BEL_IMP01,Sea,[1000km],17.77
TON_EXP01,CYP_IMP01,Sea,[1000km],18.62
TON_EXP01,ESP_IMP01,Sea,[1000km],18.431
TON_EXP01,FRA_IMP01,Sea,[1000km],19.501
TON_EXP01,GBR_IMP01,Sea,[1000km],17.531
TON_EXP01,GRC_IMP01,Sea,[1000km],18.885
TON_EXP01,HRV_IMP01,Sea,[1000km],19.874
TON_EXP01,ITA_IMP01,Sea,[1000km],19.744
TON_EXP01,LTU_IMP01,Sea,[1000km],19.664
TON_EXP01,NLD_IMP01,Sea,[1000km],17.704
TON_EXP01,POL_IMP01,Sea,[1000km],19.56
TON_EXP01,PRT_IMP01,Sea,[1000km],17.561
TGO_EXP01,BGR_IMP01,Sea,[1000km],9.025
TGO_EXP01,DNK_IMP01,Sea,[1000km],8.532
TGO_EXP01,EST_IMP01,Sea,[1000km],9.155
TGO_EXP01,FIN_IMP01,Sea,[1000km],9.171
TGO_EXP01,DEU_IMP01,Sea,[1000km],7.737
TGO_EXP01,IRL_IMP01,Sea,[1000km],7.262
TGO_EXP01,LVA_IMP01,Sea,[1000km],8.999
TGO_EXP01,MLT_IMP01,Sea,[1000km],7.424
TGO_EXP01,ROU_IMP01,Sea,[1000km],9.327
TGO_EXP01,SVN_IMP01,Sea,[1000km],8.849
TGO_EXP01,SWE_IMP01,Sea,[1000km],8.146
TGO_EXP01,NOR_IMP01,Sea,[1000km],8.189
TGO_EXP01,BEL_IMP01,Sea,[1000km],7.482
TGO_EXP01,CYP_IMP01,Sea,[1000km],9.5
TGO_EXP01,ESP_IMP01,Sea,[1000km],5.578
TGO_EXP01,FRA_IMP01,Sea,[1000km],6.649
TGO_EXP01,GBR_IMP01,Sea,[1000km],7.171
TGO_EXP01,GRC_IMP01,Sea,[1000km],8.38
TGO_EXP01,HRV_IMP01,Sea,[1000km],8.779
TGO_EXP01,ITA_IMP01,Sea,[1000km],6.944
TGO_EXP01,LTU_IMP01,Sea,[1000km],9.119
TGO_EXP01,NLD_IMP01,Sea,[1000km],7.424
TGO_EXP01,POL_IMP01,Sea,[1000km],8.937
TGO_EXP01,PRT_IMP01,Sea,[1000km],5.698
TLS_EXP01,BGR_IMP01,Sea,[1000km],13.41
TLS_EXP01,DNK_IMP01,Sea,[1000km],19.843
TLS_EXP01,EST_IMP01,Sea,[1000km],20.907
TLS_EXP01,FIN_IMP01,Sea,[1000km],20.974
TLS_EXP01,DEU_IMP01,Sea,[1000km],19.121
TLS_EXP01,IRL_IMP01,Sea,[1000km],18.196
