Country,Energy_type,Unit,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
DNK,PV,[MW],889.7357449,954.1376454,1079,1195.594691,1312.189382,1428.784074,1545.378765,1661.973456,1778.568147,1895.162838,2011.75753,2128.352221,2244.946912,2361.541603,2551.130155,2740.718706,2930.307257,3119.895808,3309.48436,3499.072911,3688.661462,3878.250013,4067.838565,4257.427116,4483.602932,4709.778747,4935.954563,5162.130378,5388.306194,5614.482009,5840.657825,6066.83364,6293.009456,6519.185271
ESP,Onshore,[MW],25491.58667,27009.16568,28840.63814,30593.05788,32345.47763,34097.89737,35850.31711,37602.73686,39355.15659,41107.57633,42859.99607,44612.41582,46364.83556,48117.2553,50379.82217,52642.38903,54904.9559,57167.52276,59430.08962,61692.65649,63955.22335,66217.79022,68480.35708,70742.92394,73035.65837,75328.39279,77621.12721,79913.86163,82206.59605,84499.33048,86792.0649,89084.79932,91377.53374,93670.26816
ESP,PV,[MW],7224.258444,7747.173226,8761,9707.697027,10654.39405,11601.09107,12547.7881,13494.48513,14441.18215,15387.87917,16334.5762,17281.27323,18227.97025,19174.66727,20714.04197,22253.41667,23792.79136,25332.16606,26871.54076,28410.91545,29950.29015,31489.66485,33029.03954,34568.41424,36404.86124,38241.30825,40077.75526,41914.20226,43750.64927,45587.09628,47423.54328,49259.99029,51096.4373,52932.8843
EST,Onshore,[MW],319.293398,338.3017464,361.241749,383.1915814,405.1414138,427.0912462,449.0410786,470.990911,492.9407432,514.8905756,536.840408,558.7902404,580.7400728,602.6899052,631.0295559,659.3692066,687.7088573,716.048508,744.3881587,772.7278095,801.0674602,829.4071109,857.7467616,886.0864123,914.803925,943.5214378,972.2389505,1000.956463,1029.673976,1058.391489,1087.109001,1115.826514,1144.544027,1173.26154
EST,PV,[MW],88.23144088,94.61791293,107,118.5622169,130.1244336,141.6866505,153.2488673,164.8110842,176.373301,187.9355178,199.4977347,211.0599515,222.6221683,234.1843851,252.9851034,271.7858216,290.5865399,309.3872581,328.1879764,346.9886946,365.7894128,384.5901311,403.3908493,422.1915676,444.6204946,467.0494216,489.4783487,511.9072757,534.3362027,556.7651297,579.1940568,601.6229838,624.0519108,646.4808378
FIN,Onshore,[MW],2204.122238,2335.339243,2493.696949,2645.219386,2796.741822,2948.264259,3099.786696,3251.309133,3402.831568,3554.354005,3705.876441,3857.398878,4008.921315,4160.443752,4356.075903,4551.708054,4747.340206,4942.972357,5138.604508,5334.23666,5529.868811,5725.500962,5921.133114,6116.765265,6315.005845,6513.246425,6711.487005,6909.727585,7107.968165,7306.208745,7504.449325,7702.689905,7900.930485,8099.171065
FIN,PV,[MW],177.2874747,190.1201054,215,238.2324918,261.4649835,284.6974753,307.9299671,331.1624589,354.3949505,377.6274423,400.8599341,424.0924259,447.3249176,470.5574094,508.3345535,546.1116977,583.8888418,621.6659859,659.4431301,697.2202742,734.9974183,772.7745625,810.5517066,848.3288507,893.3963209,938.4637911,983.5312613,1028.598732,1073.666202,1118.733672,1163.801142,1208.868612,1253.936082,1299.003553
FRA,Onshore,[MW],16222.1002,17187.8431,18353.33861,19468.52728,20583.71596,21698.90463,22814.0933,23929.28197,25044.47063,26159.65931,27274.84798,28390.03665,29505.22532,30620.414,32060.24537,33500.07675,34939.90813,36379.73951,37819.57089,39259.40227,40699.23365,42139.06503,43578.89641,45018.72779,46477.75692,47936.78605,49395.81518,50854.84431,52313.87344,53772.90257,55231.9317,56690.96083,58149.98996,59609.01909
FRA,PV,[MW],8709.350267,9339.760714,10562,11703.30967,12844.61933,13985.92899,15127.23866,16268.54833,17409.85799,18551.16766,19692.47732,20833.78699,21975.09665,23116.40632,24972.23049,26828.05465,28683.87882,30539.70299,32395.52716,34251.35133,36107.1755,37962.99967,39818.82384,41674.64801,43888.61368,46102.57936,48316.54503,50530.51071,52744.47638,54958.44206,57172.40773,59386.37341,61600.33908,63814.30476
GBR,Onshore,[MW],14151.68208,14994.16772,16010.91165,16983.76937,17956.6271,18929.48483,19902.34256,20875.20028,21848.058,22820.91573,23793.77346,24766.63119,25739.48891,26712.34664,27968.4131,29224.47955,30480.54601,31736.61247,32992.67892,34248.74538,35504.81184,36760.87829,38016.94475,39273.01121,40545.82522,41818.63922,43091.45323,44364.26724,45637.08125,46909.89526,48182.70927,49455.52328,50728.33729,52001.1513
