Node_import,Zone_demand,Unit,Transport_eu_mode,Transport_eu_distance
ROU_PIPE0002,LVA_DEM01,[1000km],Pip,1.016606904
ROU_PIPE0002,LTU_DEM01,[1000km],Pip,0.841523634
ROU_PIPE0002,ROU_DEM01,[1000km],Pip,0.257277088
ROU_PIPE0002,ESP_DEM01,[1000km],Pip,2.271870839
ROU_PIPE0002,SWE_DEM01,[1000km],Pip,1.716963605
ROU_PIPE0002,BGR_DEM01,[1000km],Pip,0.582109504
ROU_PIPE0002,EST_DEM01,[1000km],Pip,1.221918804
ROU_PIPE0002,FIN_DEM01,[1000km],Pip,1.870505524
LTU_PIPE0001,ESP_DEM01,[1000km],Pip,2.685111875
LTU_PIPE0001,ESP_DEM01,[1000km],Pip,4.425527777
POL_PIPE0001,PRT_DEM01,[1000km],Pip,2.819037624
POL_PIPE0001,IRL_DEM01,[1000km],Pip,2.1119973
LTU_PIPE0001,FIN_DEM01,[1000km],Pip,1.090344214
LTU_PIPE0001,LVA_DEM01,[1000km],Pip,0.243825292
LTU_PIPE0001,LTU_DEM01,[1000km],Pip,0.13688159
LTU_PIPE0001,ROU_DEM01,[1000km],Pip,0.988519141
POL_PIPE0001,FRA_DEM01,[1000km],Pip,1.633917101
POL_PIPE0001,CHE_DEM01,[1000km],Pip,1.253978903
POL_PIPE0001,BEL_DEM01,[1000km],Pip,1.309191322
POL_PIPE0001,DEU_DEM01,[1000km],Pip,0.906125303
POL_PIPE0001,GBR_DEM01,[1000km],Pip,1.753681537
POL_PIPE0001,MLT_DEM01,[1000km],Pip,1.961997322
POL_PIPE0001,CYP_DEM01,[1000km],Pip,2.077578699
POL_PIPE0001,GRC_DEM01,[1000km],Pip,1.478696532
LTU_PIPE0001,HRV_DEM01,[1000km],Pip,1.26480127
LTU_PIPE0001,CZE_DEM01,[1000km],Pip,0.899631179
LTU_PIPE0001,DNK_DEM01,[1000km],Pip,1.003660563
LTU_PIPE0001,HUN_DEM01,[1000km],Pip,0.949711934
LTU_PIPE0001,DEU_DEM01,[1000km],Pip,1.105463445
LTU_PIPE0001,LUX_DEM01,[1000km],Pip,1.445104693
LTU_PIPE0001,NLD_DEM01,[1000km],Pip,1.359957523
LTU_PIPE0001,AUT_DEM01,[1000km],Pip,1.132000104
LTU_PIPE0001,NOR_DEM01,[1000km],Pip,1.264246619
LTU_PIPE0001,SWE_DEM01,[1000km],Pip,1.03733429
LTU_PIPE0001,BGR_DEM01,[1000km],Pip,1.330002724
LTU_PIPE0001,EST_DEM01,[1000km],Pip,0.440893782
LTU_PIPE0001,ITA_DEM01,[1000km],Pip,1.657655761
LTU_PIPE0001,POL_DEM01,[1000km],Pip,0.51082238
LTU_PIPE0001,SVK_DEM01,[1000km],Pip,0.795517038
LTU_PIPE0001,SVN_DEM01,[1000km],Pip,1.228367211
ITA_PIPE0002,ROU_DEM01,[1000km],Pip,1.321527249
ITA_PIPE0002,ESP_DEM01,[1000km],Pip,1.58528385
ITA_PIPE0002,ESP_DEM01,[1000km],Pip,2.954856352
LTU_PIPE0001,PRT_DEM01,[1000km],Pip,3.050705207
ITA_PIPE0002,EST_DEM01,[1000km],Pip,2.539270954
ITA_PIPE0002,FIN_DEM01,[1000km],Pip,3.15600806
ITA_PIPE0002,LVA_DEM01,[1000km],Pip,2.339978489
ITA_PIPE0002,LTU_DEM01,[1000km],Pip,2.159082582
LTU_PIPE0001,GRC_DEM01,[1000km],Pip,1.752136299
LTU_PIPE0001,FRA_DEM01,[1000km],Pip,1.862212652
LTU_PIPE0001,CHE_DEM01,[1000km],Pip,1.510496312
LTU_PIPE0001,BEL_DEM01,[1000km],Pip,1.489632712
LTU_PIPE0001,IRL_DEM01,[1000km],Pip,2.210540914
LTU_PIPE0001,GBR_DEM01,[1000km],Pip,1.846730217
LTU_PIPE0001,MLT_DEM01,[1000km],Pip,2.265744898
LTU_PIPE0001,CYP_DEM01,[1000km],Pip,2.261268137
ITA_PIPE0002,AUT_DEM01,[1000km],Pip,1.170852477
ITA_PIPE0002,HRV_DEM01,[1000km],Pip,0.90625324
ITA_PIPE0002,CZE_DEM01,[1000km],Pip,1.412504901
ITA_PIPE0002,DNK_DEM01,[1000km],Pip,2.125981831
ITA_PIPE0002,BEL_DEM01,[1000km],Pip,1.692740931
ITA_PIPE0002,DEU_DEM01,[1000km],Pip,1.591550211
ITA_PIPE0002,LUX_DEM01,[1000km],Pip,1.558388758
ITA_PIPE0002,NLD_DEM01,[1000km],Pip,1.819447683
ITA_PIPE0002,SVN_DEM01,[1000km],Pip,1.008524753
ITA_PIPE0002,NOR_DEM01,[1000km],Pip,3.047481968
ITA_PIPE0002,SWE_DEM01,[1000km],Pip,2.867608222
ITA_PIPE0002,BGR_DEM01,[1000km],Pip,1.130083124
ITA_PIPE0002,HUN_DEM01,[1000km],Pip,1.200569351
ITA_PIPE0002,ITA_DEM01,[1000km],Pip,0.664699207
ITA_PIPE0002,POL_DEM01,[1000km],Pip,1.722599836
ITA_PIPE0002,SVK_DEM01,[1000km],Pip,1.362383361
POL_PIPE0003,PRT_DEM01,[1000km],Pip,2.765472295
POL_PIPE0003,IRL_DEM01,[1000km],Pip,2.220692036
POL_PIPE0003,GBR_DEM01,[1000km],Pip,1.874128227
POL_PIPE0003,MLT_DEM01,[1000km],Pip,1.716360727
POL_PIPE0002,LTU_DEM01,[1000km],Pip,0.257997031
POL_PIPE0002,ROU_DEM01,[1000km],Pip,0.801659624
POL_PIPE0002,ESP_DEM01,[1000km],Pip,2.497531947
POL_PIPE0002,ESP_DEM01,[1000km],Pip,4.236501087
POL_PIPE0003,BEL_DEM01,[1000km],Pip,1.353861682
POL_PIPE0003,DEU_DEM01,[1000km],Pip,0.950625208
POL_PIPE0003,LUX_DEM01,[1000km],Pip,1.261312298
POL_PIPE0003,NLD_DEM01,[1000km],Pip,1.290338383
POL_PIPE0003,CYP_DEM01,[1000km],Pip,1.815959483
