Year,Country,Country_demand,Node_border,Node_import,Node_export,Node_production,Source,Source_vres,Energy_type,Technology,Transport_national,Transport_international,Transport_eu,Transport_national_mode,Transport_international_mode,Transport_eu_mode,Transport_conversion
,MTQ,,GRC_BORD0005,,USA_LH2L0002,,,,,,,,,,,,
,MHL,,HRV_BORD0001,,USA_LH2L0003,,,,,,,,,,,,
,MDV,,HRV_BORD0002,,USA_LH2L0004,,,,,,,,,,,,
,MDG,,HRV_BORD0003,,USA_LH2L0005,,,,,,,,,,,,
,LBR,,HUN_BORD0001,,USA_LH2L0006,,,,,,,,,,,,
,LBN,,HUN_BORD0002,,USA_LH2L0007,,,,,,,,,,,,
,KWT,,HUN_BORD0003,,USA_LH2L0008,,,,,,,,,,,,
,KOR,,HUN_BORD0004,,USA_LH2L0009,,,,,,,,,,,,
,KIR,,HUN_BORD0005,,USA_LH2L0010,,,,,,,,,,,,
,KEN,,HUN_BORD0006,,USA_LH2L0011,,,,,,,,,,,,
,JOR,,IRL_BORD0001,,USA_LH2L0012,,,,,,,,,,,,
,JPN,,ITA_BORD0001,,USA_LH2L0013,,,,,,,,,,,,
,JAM,,ITA_BORD0002,,USA_LH2L0015,,,,,,,,,,,,
,ISR,,ITA_BORD0003,,USA_LH2L0016,,,,,,,,,,,,
,IRQ,,ITA_BORD0004,,YEM_LH2L0001,,,,,,,,,,,,
,IRN,,ITA_BORD0005,,YEM_PORT0001,,,,,,,,,,,,
,IND,,ITA_BORD0006,,YEM_PORT0002,,,,,,,,,,,,
,ISL,,ITA_BORD0007,,WLF_PORT0001,,,,,,,,,,,,
,HKG,,ITA_BORD0008,,VGB_PORT0001,,,,,,,,,,,,
,HND,,ITA_BORD0009,,VGB_PORT0002,,,,,,,,,,,,
,HTI,,LTU_BORD0001,,VNM_PORT0001,,,,,,,,,,,,
,GUY,,LTU_BORD0002,,VNM_PORT0002,,,,,,,,,,,,
,GNB,,LTU_BORD0003,,VNM_PORT0003,,,,,,,,,,,,
,GIN,,LTU_BORD0004,,VNM_PORT0004,,,,,,,,,,,,
,GTM,,LTU_BORD0005,,VNM_PORT0005,,,,,,,,,,,,
,GUM,,LUX_BORD0001,,VNM_PORT0006,,,,,,,,,,,,
,GLP,,LVA_BORD0001,,VNM_PORT0007,,,,,,,,,,,,
,GRD,,LVA_BORD0002,,VEN_PORT0001,,,,,,,,,,,,
,GRL,,LVA_BORD0003,,VUT_PORT0001,,,,,,,,,,,,
,GIB,,LVA_BORD0004,,VUT_PORT0002,,,,,,,,,,,,
,GHA,,MKD_BORD0001,,URY_PORT0001,,,,,,,,,,,,
,GEO,,MLT_BORD0001,,URY_PORT0002,,,,,,,,,,,,
,GMB,,NLD_BORD0001,,USA_PORT0001,,,,,,,,,,,,
,GAB,,NLD_BORD0002,,USA_PORT0002,,,,,,,,,,,,
,PYF,,NLD_BORD0003,,USA_PORT0003,,,,,,,,,,,,
,GUF,,NLD_BORD0004,,USA_PORT0004,,,,,,,,,,,,
,FJI,,NLD_BORD0005,,USA_PORT0005,,,,,,,,,,,,
,FRO,,NLD_BORD0006,,USA_PORT0006,,,,,,,,,,,,
