Node_import,Transport_international,Unit,Capacity,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NOR_PORT0013,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0014,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0015,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0016,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0017,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0018,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0019,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0020,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0021,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0022,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0023,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0024,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0025,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0026,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0027,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR_PORT0028,NH3,[TWh/year],1.00E+13,1.00E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
