Node_production,Node_export
CHN_GXXXXX,CHN_PORT0017
CHN_GXXXXX,CHN_PORT0018
CHN_GXXXXX,CHN_PORT0019
CHN_GXXXXX,CHN_PORT0020
CHN_GXXXXX,CHN_PORT0021
CHN_GXXXXX,CHN_PORT0022
CHN_GXXXXX,CHN_PORT0023
CHN_GXXXXX,CHN_PORT0024
CHN_GXXXXX,CHN_PORT0025
CHN_GXXXXX,CHN_PORT0026
COL_GXXXXX,COL_PORT0001
COL_GXXXXX,COL_PORT0002
COL_GXXXXX,COL_PORT0003
COL_GXXXXX,COL_PORT0004
COL_GXXXXX,COL_PORT0005
COL_GXXXXX,COL_PORT0006
COL_GXXXXX,COL_PORT0007
DEU_GXXXXX,DEU_PORT0001
DEU_GXXXXX,DEU_PORT0002
DEU_GXXXXX,DEU_PORT0003
DEU_GXXXXX,DEU_PORT0004
DEU_GXXXXX,DEU_PORT0005
DEU_GXXXXX,DEU_PORT0006
DEU_GXXXXX,DEU_PORT0007
DEU_GXXXXX,DEU_PORT0008
DEU_GXXXXX,DEU_PORT0009
DEU_GXXXXX,DEU_PORT0010
DEU_GXXXXX,DEU_PORT0011
DNK_GXXXXX,DNK_PORT0001
DNK_GXXXXX,DNK_PORT0002
DNK_GXXXXX,DNK_PORT0003
DNK_GXXXXX,DNK_PORT0004
DNK_GXXXXX,DNK_PORT0005
DNK_GXXXXX,DNK_PORT0006
DNK_GXXXXX,DNK_PORT0007
DNK_GXXXXX,DNK_PORT0008
DZA_GXXXXX,DZA_PORT0001
DZA_GXXXXX,DZA_PORT0002
DZA_GXXXXX,DZA_PORT0003
DZA_GXXXXX,DZA_PORT0004
DZA_GXXXXX,DZA_PORT0005
EGY_GXXXXX,EGY_PORT0001
EGY_GXXXXX,EGY_PORT0002
EGY_GXXXXX,EGY_PORT0003
EGY_GXXXXX,EGY_PORT0004
EGY_GXXXXX,EGY_PORT0005
GBR_GXXXXX,GBR_PORT0001
GBR_GXXXXX,GBR_PORT0002
GBR_GXXXXX,GBR_PORT0003
GBR_GXXXXX,GBR_PORT0004
GBR_GXXXXX,GBR_PORT0005
GBR_GXXXXX,GBR_PORT0006
GBR_GXXXXX,GBR_PORT0007
GBR_GXXXXX,GBR_PORT0008
GBR_GXXXXX,GBR_PORT0009
GBR_GXXXXX,GBR_PORT0010
GBR_GXXXXX,GBR_PORT0011
GBR_GXXXXX,GBR_PORT0012
GBR_GXXXXX,GBR_PORT0013
GBR_GXXXXX,GBR_PORT0014
GBR_GXXXXX,GBR_PORT0015
GBR_GXXXXX,GBR_PORT0016
GBR_GXXXXX,GBR_PORT0017
GBR_GXXXXX,GBR_PORT0018
GBR_GXXXXX,GBR_PORT0019
GBR_GXXXXX,GBR_PORT0020
GBR_GXXXXX,GBR_PORT0021
GBR_GXXXXX,GBR_PORT0022
IDN_GXXXXX,IDN_PORT0001
IDN_GXXXXX,IDN_PORT0002
IDN_GXXXXX,IDN_PORT0003
IDN_GXXXXX,IDN_PORT0004
IDN_GXXXXX,IDN_PORT0005
IDN_GXXXXX,IDN_PORT0006
IDN_GXXXXX,IDN_PORT0007
IDN_GXXXXX,IDN_PORT0008
IDN_GXXXXX,IDN_PORT0009
IDN_GXXXXX,IDN_PORT0010
IDN_GXXXXX,IDN_PORT0011
IDN_GXXXXX,IDN_PORT0012
IDN_GXXXXX,IDN_PORT0013
IDN_GXXXXX,IDN_PORT0014
IDN_GXXXXX,IDN_PORT0015
IDN_GXXXXX,IDN_PORT0016
IDN_GXXXXX,IDN_PORT0017
IDN_GXXXXX,IDN_PORT0018
IDN_GXXXXX,IDN_PORT0019
IDN_GXXXXX,IDN_PORT0020
IDN_GXXXXX,IDN_PORT0021
IDN_GXXXXX,IDN_PORT0022
IDN_GXXXXX,IDN_PORT0023
IDN_GXXXXX,IDN_PORT0024
IDN_GXXXXX,IDN_PORT0025
IDN_GXXXXX,IDN_PORT0026
IDN_GXXXXX,IDN_PORT0027
IDN_GXXXXX,IDN_PORT0028
IDN_GXXXXX,IDN_PORT0029
IND_GXXXXX,IND_PORT0001
IND_GXXXXX,IND_PORT0002
IND_GXXXXX,IND_PORT0003
IND_GXXXXX,IND_PORT0004
IND_GXXXXX,IND_PORT0005
IND_GXXXXX,IND_PORT0006
IND_GXXXXX,IND_PORT0007
IND_GXXXXX,IND_PORT0008
IND_GXXXXX,IND_PORT0009
IND_GXXXXX,IND_PORT0010
IND_GXXXXX,IND_PORT0011
