Sensitivity,Country,Cell,System,Electrolyser,Year,PV,Onshore,Lcoh
Res_Capex_M10,FRA,FRA_FR21,PV,PEM,2020,3.0959744601856523,0.0,15.54263710920639
Res_Capex_M10,FRA,FRA_FR21,PV,PEM,2025,3.058319027313509,0.0,13.746138153999748
Res_Capex_M10,FRA,FRA_FR21,PV,PEM,2030,3.0032751908177895,0.0,12.274053474072952
Res_Capex_C10,FRA,FRA_FR21,PV,PEM,2020,3.0028995265011384,0.0,16.245815483246652
Res_Capex_C10,FRA,FRA_FR21,PV,PEM,2025,2.967347497505317,0.0,14.375750262162384
Res_Capex_C10,FRA,FRA_FR21,PV,PEM,2030,2.8986080105108747,0.0,12.854424835460954
PV_Capex_M10,FRA,FRA_FR21,PV,PEM,2020,3.095879965472195,0.0,15.531630310789575
PV_Capex_M10,FRA,FRA_FR21,PV,PEM,2025,3.0630221464235774,0.0,13.736288839721151
PV_Capex_M10,FRA,FRA_FR21,PV,PEM,2030,3.008887755757428,0.0,12.264955806110445
PV_Capex_C10,FRA,FRA_FR21,PV,PEM,2020,3.0030801908241838,0.0,16.233257975273293
PV_Capex_C10,FRA,FRA_FR21,PV,PEM,2025,2.969644451077329,0.0,14.364507828083335
PV_Capex_C10,FRA,FRA_FR21,PV,PEM,2030,2.9058521825550088,0.0,12.844069004768395
Onshore_Capex_M10,FRA,FRA_FR21,PV,PEM,2020,3.0389090817061515,0.0,16.004683877515955
Onshore_Capex_M10,FRA,FRA_FR21,PV,PEM,2025,2.994204424946261,0.0,14.1598911818964
Onshore_Capex_M10,FRA,FRA_FR21,PV,PEM,2030,2.9323714253132493,0.0,12.65564792367359
Onshore_Capex_P10,FRA,FRA_FR21,PV,PEM,2020,3.0389090817061515,0.0,16.004683877515955
Onshore_Capex_P10,FRA,FRA_FR21,PV,PEM,2025,2.994204424946261,0.0,14.1598911818964
Onshore_Capex_P10,FRA,FRA_FR21,PV,PEM,2030,2.9323714253132493,0.0,12.65564792367359
Electrolyser_Capex_M10,FRA,FRA_FR21,PV,PEM,2020,2.9413454902158707,0.0,15.224632994283468
Electrolyser_Capex_M10,FRA,FRA_FR21,PV,PEM,2025,2.912498107467485,0.0,13.48599023065478
Electrolyser_Capex_M10,FRA,FRA_FR21,PV,PEM,2030,2.840783158073563,0.0,12.071277017090411
