Country,Cell,System,Electrolyser,Year,PV,Onshore,Lcoh
ITA,ITA_ITI2,PV,PEM,2020,2.716836913275529,0.0,13.806768701942131
ITA,ITA_ITI2,PV,Alkaline,2020,2.0737602005793576,0.0,8.04656534865817
ITA,ITA_ITI2,Onshore,PEM,2020,0.0,4.415209375165364,21.98039582402786
ITA,ITA_ITI2,Onshore,Alkaline,2020,0.0,2.773293007880154,16.239291155193342
ITA,ITA_ITI2,Hybrid,PEM,2020,7.614930499433382,3.3333333333333335,10.0
ITA,ITA_ITI2,Hybrid,Alkaline,2020,2.073875722836813,0.0,8.046564907834425
ITA,ITA_ITI3,PV,PEM,2020,2.77004207076772,0.0,13.930054438086907
ITA,ITA_ITI3,PV,Alkaline,2020,2.0922704431819805,0.0,8.142973430871946
ITA,ITA_ITI3,Onshore,PEM,2020,0.0,3.9305995430878227,18.634698356534578
ITA,ITA_ITI3,Onshore,Alkaline,2020,0.0,2.6428915951955547,13.605765030933787
ITA,ITA_ITI3,Hybrid,PEM,2020,9.248628875562822,3.3333333333333335,10.0
ITA,ITA_ITI3,Hybrid,Alkaline,2020,2.091922778054577,0.0,8.142973418601843
ITA,ITA_ITI4,PV,PEM,2020,2.6374168526834207,0.0,13.420600482036772
ITA,ITA_ITI4,PV,Alkaline,2020,2.0328061568085687,0.0,7.7741586851997315
ITA,ITA_ITI4,Onshore,PEM,2020,0.0,4.246542777073046,20.045578321104994
ITA,ITA_ITI4,Onshore,Alkaline,2020,0.0,2.7443398750815295,14.817394644786757
ITA,ITA_ITI4,Hybrid,PEM,2020,8.440338679415586,3.3333333333333335,10.0
ITA,ITA_ITI4,Hybrid,Alkaline,2020,2.0326140350360262,0.0,7.774158800205772
AUT,AUT_AT11,PV,PEM,2020,2.857253616921311,0.0,14.766868374277482
AUT,AUT_AT11,PV,Alkaline,2020,2.146038488285052,0.0,8.691174103212589
AUT,AUT_AT11,Onshore,PEM,2020,0.0,2.705972576077329,12.499427468016465
AUT,AUT_AT11,Onshore,Alkaline,2020,0.0,1.9928580794679107,8.485843086891828
AUT,AUT_AT11,Hybrid,PEM,2020,8.829405429335322,6.72644714218055,10.0
AUT,AUT_AT11,Hybrid,Alkaline,2020,1.542452740842517,1.3707308770307878,7.624533530701608
AUT,AUT_AT12,PV,PEM,2020,2.93824321590364,0.0,15.104810074340213
AUT,AUT_AT12,PV,Alkaline,2020,2.1977363895422286,0.0,8.959359334885217
AUT,AUT_AT12,Onshore,PEM,2020,0.0,2.912107750470712,12.9392263383943
AUT,AUT_AT12,Onshore,Alkaline,2020,0.0,2.190926405853588,8.954861537133576
AUT,AUT_AT12,Hybrid,PEM,2020,9.006825358937377,6.548730196618178,10.0
AUT,AUT_AT12,Hybrid,Alkaline,2020,1.5876299851172437,1.4482924962330121,7.99808436118791
AUT,AUT_AT13,PV,PEM,2020,2.8904296007395875,0.0,15.070555637020439
AUT,AUT_AT13,PV,Alkaline,2020,2.1787826252781595,0.0,8.904760239479737
AUT,AUT_AT13,Onshore,PEM,2020,0.0,3.5499078286862296,16.755303267069703
AUT,AUT_AT13,Onshore,Alkaline,2020,0.0,2.698191354182251,12.100240461462676
AUT,AUT_AT13,Hybrid,PEM,2020,7.075433018544904,6.257900314788429,10.0
AUT,AUT_AT13,Hybrid,Alkaline,2020,2.174465274602449,0.0,8.904810598970549
AUT,AUT_AT21,PV,PEM,2020,2.7619733290725987,0.0,14.357336703568484
AUT,AUT_AT21,PV,Alkaline,2020,2.065140532711487,0.0,8.3887407610656
AUT,AUT_AT21,Onshore,PEM,2020,0.0,3.653725667216183,22.8055229689105
AUT,AUT_AT21,Onshore,Alkaline,2020,0.0,2.4735757146799084,16.343041097910532
AUT,AUT_AT21,Hybrid,PEM,2020,5.209179857571215,4.790820142428785,10.0
AUT,AUT_AT21,Hybrid,Alkaline,2020,7.210021009282754,6.123312324050579,10.0
AUT,AUT_AT22,PV,PEM,2020,2.846459022509862,0.0,14.545558134053469
AUT,AUT_AT22,PV,Alkaline,2020,2.141333496351489,0.0,8.562595716731865
AUT,AUT_AT22,Onshore,PEM,2020,0.0,4.029164943951312,21.52285489450376
AUT,AUT_AT22,Onshore,Alkaline,2020,0.0,2.896822531996021,15.864056082529633
AUT,AUT_AT22,Hybrid,PEM,2020,7.868197195867634,3.3333333333333335,10.0
AUT,AUT_AT22,Hybrid,Alkaline,2020,2.1412303778669535,0.0,8.562595882828495
AUT,AUT_AT31,PV,PEM,2020,2.9410708642948884,0.0,15.336524831462272
AUT,AUT_AT31,PV,Alkaline,2020,2.169235719853413,0.0,9.102375196755316
AUT,AUT_AT31,Onshore,PEM,2020,0.0,3.717441521904256,17.193543964878263
AUT,AUT_AT31,Onshore,Alkaline,2020,0.0,2.545976897294402,12.440170137466946
AUT,AUT_AT31,Hybrid,PEM,2020,5.917609242907335,7.415724090425997,10.0
AUT,AUT_AT31,Hybrid,Alkaline,2020,2.1693904784679576,0.0,9.1023755471443
AUT,AUT_AT32,PV,PEM,2020,2.9325434323709807,0.0,14.919525759439722
AUT,AUT_AT32,PV,Alkaline,2020,2.141301650436918,0.0,8.819115944373008
AUT,AUT_AT32,Onshore,PEM,2020,0.0,3.7892784955794654,25.116593624752912
AUT,AUT_AT32,Onshore,Alkaline,2020,0.0,2.531404495239258,18.233205188875793
AUT,AUT_AT32,Hybrid,PEM,2020,8.193124596958256,0.0,10.0
AUT,AUT_AT32,Hybrid,Alkaline,2020,8.63554282062165,4.6980875286720005,10.0
AUT,AUT_AT33,PV,PEM,2020,2.846459022509862,0.0,14.38060844458212
AUT,AUT_AT33,PV,Alkaline,2020,2.1085030863806153,0.0,8.45775896303032
AUT,AUT_AT33,Onshore,PEM,2020,0.0,3.900212274793582,23.608626034118107
AUT,AUT_AT33,Onshore,Alkaline,2020,0.0,2.726423513711893,17.285494856207688
AUT,AUT_AT33,Hybrid,PEM,2020,5.711540652011513,4.2887563639488056,10.0
AUT,AUT_AT33,Hybrid,Alkaline,2020,7.902905116866752,5.430428216466581,10.0
AUT,AUT_AT34,PV,PEM,2020,2.8320808541482645,0.0,14.52810057155068
AUT,AUT_AT34,PV,Alkaline,2020,2.1185662272893713,0.0,8.548603110171596
AUT,AUT_AT34,Onshore,PEM,2020,0.0,4.282483224106571,30.274873868656048
AUT,AUT_AT34,Onshore,Alkaline,2020,0.0,2.6148688414832577,22.252751738803266
AUT,AUT_AT34,Hybrid,PEM,2020,8.311173861406356,0.0,10.0
AUT,AUT_AT34,Hybrid,Alkaline,2020,8.327772785649236,4.017906226696443,10.0
CHE,CHE_CH01,PV,PEM,2020,2.664512507035397,0.0,14.039476439324643
CHE,CHE_CH01,PV,Alkaline,2020,2.04481763528392,0.0,8.170785151825351
CHE,CHE_CH01,Onshore,PEM,2020,0.0,3.06061600567773,20.13460714114779
CHE,CHE_CH01,Onshore,Alkaline,2020,0.0,2.1453852107569613,13.950154299090832
CHE,CHE_CH01,Hybrid,PEM,2020,0.0,5.555555555555555,10.0
CHE,CHE_CH01,Hybrid,Alkaline,2020,2.044017243496897,0.0,8.170786862793827
CHE,CHE_CH02,PV,PEM,2020,2.8240186258790345,0.0,14.605384565188624
CHE,CHE_CH02,PV,Alkaline,2020,2.146038488285052,0.0,8.60402284324311
CHE,CHE_CH02,Onshore,PEM,2020,0.0,4.076361824114514,23.84548547459143
CHE,CHE_CH02,Onshore,Alkaline,2020,0.0,2.5595400571182836,17.383737024445757
CHE,CHE_CH02,Hybrid,PEM,2020,0.0,5.555555555555555,10.0
CHE,CHE_CH02,Hybrid,Alkaline,2020,1.4814814814814816,8.975765889346137,10.0
CHE,CHE_CH03,PV,PEM,2020,2.8820692250688555,0.0,15.130724879446818
CHE,CHE_CH03,PV,Alkaline,2020,2.141521844649715,0.0,8.93022554020573
CHE,CHE_CH03,Onshore,PEM,2020,0.0,5.200117677695756,39.387388287414225
CHE,CHE_CH03,Onshore,Alkaline,2020,0.0,2.9709979052468682,29.90174016485233
CHE,CHE_CH03,Hybrid,PEM,2020,0.0,2.2222222222222223,10.0
CHE,CHE_CH03,Hybrid,Alkaline,2020,4.571255260714751,5.428744739285248,10.0
CHE,CHE_CH04,PV,PEM,2020,2.8803715598769486,0.0,15.160877770625962
CHE,CHE_CH04,PV,Alkaline,2020,2.1596833962738113,0.0,8.953415540428459
CHE,CHE_CH04,Onshore,PEM,2020,0.0,4.865898005082272,35.32921849118506
CHE,CHE_CH04,Onshore,Alkaline,2020,0.0,2.9665275328976746,26.657791484466532
CHE,CHE_CH04,Hybrid,PEM,2020,7.991791781741794,0.0,10.0
CHE,CHE_CH04,Hybrid,Alkaline,2020,0.0,5.555555555555555,10.0
CHE,CHE_CH05,PV,PEM,2020,2.8807956931609624,0.0,14.608574441703468
CHE,CHE_CH05,PV,Alkaline,2020,2.172255974644761,0.0,8.635073102193804
CHE,CHE_CH05,Onshore,PEM,2020,0.0,3.9216258887964717,23.85320531737614
CHE,CHE_CH05,Onshore,Alkaline,2020,0.0,2.5862815032323194,17.321294896778387
CHE,CHE_CH05,Hybrid,PEM,2020,8.349896286179147,0.0,10.0
CHE,CHE_CH05,Hybrid,Alkaline,2020,9.955720184808499,3.3779101644851517,10.0
CHE,CHE_CH06,PV,PEM,2020,2.8169417496212783,0.0,14.627473621839957
CHE,CHE_CH06,PV,Alkaline,2020,2.1143130285554532,0.0,8.607734753348222
CHE,CHE_CH06,Onshore,PEM,2020,0.0,4.338496808695663,29.740632623043815
CHE,CHE_CH06,Onshore,Alkaline,2020,0.0,2.70033808962867,21.97072268419505
CHE,CHE_CH06,Hybrid,PEM,2020,8.270481133927502,0.0,10.0
CHE,CHE_CH06,Hybrid,Alkaline,2020,8.585965673930612,3.759713338415065,10.0
