Sensitivity,Country,Cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit,H2_volume_total,Change_volume,Change_lcoh
Default,FRA,FRA_FR10,Onshore,PEM,2020,Volume,0.0,1.045649795507029,21.985932981350896,30425.222766405568,579.9431778408679,17644900.377665564,-0.1347165247659562,-0.33651329038401767
Default,FRA,FRA_FR10,Onshore,PEM,2020,Profit,0.0,2.8868251517443158,14.58737433163401,72681.9214835468,210.06380138699515,15267840.718944952,0.0,0.0
Default,FRA,FRA_FR10,Onshore,PEM,2025,Lcoh,0.0,3.34848692664827,13.47847370113742,81492.76656375192,181.10193606818257,14758497.800247926,0.07107536606078368,0.013109229629452157
Default,FRA,FRA_FR10,Onshore,PEM,2025,Volume,0.0,1.045649795507029,19.876652288895286,30912.026330668068,579.9431778408679,17927218.783708222,-0.11824228707058448,-0.3130047298976474
Default,FRA,FRA_FR10,Onshore,PEM,2025,Profit,0.0,2.7071934852529544,13.655166107940163,70568.32046290177,224.00226234968858,15807463.43390782,0.0,0.0
Default,FRA,FRA_FR10,Onshore,PEM,2030,Lcoh,0.0,3.2149096016161773,12.578289648215526,80630.5546104945,188.6265993327296,15209067.318489518,0.07653675038596619,0.0177463551474486
Default,FRA,FRA_FR10,Onshore,PEM,2030,Volume,0.0,1.045649795507029,17.997243655097996,31398.829894930557,579.9431778408679,18209537.18975087,-0.10084920133699937,-0.2886961643243625
Default,FRA,FRA_FR10,Onshore,PEM,2030,Profit,0.0,2.5150990944019997,12.801508443460234,67907.04655969523,241.11076444850158,16373119.907448106,0.0,0.0
Default,FRA,FRA_FR10,Onshore,Alkaline,2020,Lcoh,0.0,2.4299604261847843,10.306480927908119,66177.75255878648,249.5585766666661,16515225.735569576,0.05748112969051067,0.018049138126321695
Default,FRA,FRA_FR10,Onshore,Alkaline,2020,Volume,0.0,1.045649795507029,12.352286023595466,31398.829894930557,579.9431778408679,18209537.18975087,-0.040912496239952634,-0.1505617659978613
Default,FRA,FRA_FR10,Onshore,Alkaline,2020,Profit,0.0,1.8474027684163865,10.492504025772233,53204.33627382042,328.2540633165921,17464539.56794391,0.0,0.0
Default,FRA,FRA_FR10,Onshore,Alkaline,2025,Lcoh,0.0,2.3384876272263635,9.627868754278849,66522.79077277411,259.3203651174586,17250714.39182809,0.055311791257053544,0.020163472887569256
Default,FRA,FRA_FR10,Onshore,Alkaline,2025,Volume,0.0,1.0456309394098509,11.348787690990315,32493.551951013236,579.9536360862268,18844753.603346836,-0.033954877389814175,-0.1345331067680111
Default,FRA,FRA_FR10,Onshore,Alkaline,2025,Profit,0.0,1.7593184473650312,9.822000024870825,52815.40704833361,344.6888573374788,18204882.305303935,0.0,0.0
Default,FRA,FRA_FR10,Onshore,Alkaline,2030,Lcoh,0.0,2.2412710453006137,8.961738416532436,66551.64614340401,270.5685537617176,18006782.647482414,0.05200235293104627,0.022043730422407037
Default,FRA,FRA_FR10,Onshore,Alkaline,2030,Volume,0.0,1.045649795507029,10.386859481574753,33589.44593411175,579.9431778408679,19479970.016942784,-0.027556115466629172,-0.11818499339956756
Default,FRA,FRA_FR10,Onshore,Alkaline,2030,Profit,0.0,1.6742184086581515,9.159288562302605,52298.98322695714,362.20929251460683,18943177.713869434,0.0,0.0
Default,FRA,FRA_FR10,Hybrid,PEM,2020,Lcoh,1.8658602045611083,2.3141877692245845,12.530498917894409,91360.10778369226,146.35524475092444,13371030.935153117,0.07725377555153723,0.01607260135135813
Default,FRA,FRA_FR10,Hybrid,PEM,2020,Volume,0.0,1.0456350173717621,21.986140479018367,30424.79276770093,579.9513742751752,17644900.377665564,-0.18367385195655284,-0.4209126133854394
Default,FRA,FRA_FR10,Hybrid,PEM,2020,Profit,1.44585769164857,1.9786043353195368,12.731896631735351,80666.49854917647,178.56227575229428,14403993.557910096,0.0,0.0
Default,FRA,FRA_FR10,Hybrid,PEM,2025,Lcoh,1.943406617951756,2.0360899469642337,11.510498587655905,88624.47631809203,153.85876055452178,13635652.081095207,0.08315614841723518,0.020077710197242027
Default,FRA,FRA_FR10,Hybrid,PEM,2025,Volume,0.0,1.0456350173717621,19.876832734893288,30911.58945198415,579.9513742751752,17927218.78370822,-0.17613877715718462,-0.40928199179779134
Default,FRA,FRA_FR10,Hybrid,PEM,2025,Profit,1.4184406847229634,1.8621003655069228,11.741603042524623,79221.50584969799,186.43347195820624,14769540.389316542,0.0,0.0
Default,FRA,FRA_FR10,Hybrid,PEM,2030,Lcoh,1.9685276327343757,1.9049836149124444,10.607498081903467,87777.32537989662,158.13071066638352,13880290.842717435,0.0908441723548945,0.025505560792682624
Default,FRA,FRA_FR10,Hybrid,PEM,2030,Volume,0.0,1.0456350173717621,17.99740057125021,31398.386136267363,579.9513742751752,18209537.189750865,-0.1684997691818615,-0.3955766986446496
