Sensitivity,Country,Cell,System,Electrolyser,Year,PV,Onshore,Lcoh,H2_volume
Res_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2030,2.1883446484636857,0.0,7.108470831351904,45966.18012297098
Res_Capex_C10,FRA,FRA_FR10,PV,Alkaline,2020,2.173872538318266,0.0,9.662015899707612,42798.502860708395
Res_Capex_C10,FRA,FRA_FR10,PV,Alkaline,2025,2.1631981546643786,0.0,8.510137526510631,44160.381326573115
Res_Capex_C10,FRA,FRA_FR10,PV,Alkaline,2030,2.1368159133880127,0.0,7.571818074461076,45308.97435022555
PV_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2020,2.2271057462300563,0.0,9.077510719600209,43414.1017990184
PV_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2025,2.216589224161112,0.0,7.994016112460365,44804.876296450355
PV_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2030,2.192546194419265,0.0,7.101242092684744,46018.65914509776
PV_Capex_C10,FRA,FRA_FR10,PV,Alkaline,2020,2.17412347800087,0.0,9.651698367990807,42801.46200461792
PV_Capex_C10,FRA,FRA_FR10,PV,Alkaline,2025,2.1631981546643786,0.0,8.501026347025366,44160.381326573115
PV_Capex_C10,FRA,FRA_FR10,PV,Alkaline,2030,2.1407902892678976,0.0,7.5635041578204545,45360.70841470604
Onshore_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2020,2.195754382080395,0.0,9.464200872089798,43054.867827079965
Onshore_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2025,2.1821096863780465,0.0,8.335479811517086,44391.78338558138
Onshore_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2030,2.15433264752221,0.0,7.412531463196456,45535.564137646965
Onshore_Capex_P10,FRA,FRA_FR10,PV,Alkaline,2020,2.195754382080395,0.0,9.464200872089798,43054.867827079965
Onshore_Capex_P10,FRA,FRA_FR10,PV,Alkaline,2025,2.1821096863780465,0.0,8.335479811517086,44391.78338558138
Onshore_Capex_P10,FRA,FRA_FR10,PV,Alkaline,2030,2.15433264752221,0.0,7.412531463196456,45535.564137646965
Electrolyser_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2020,2.1504995974573182,0.0,9.166620431289,42519.864188008534
Electrolyser_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2025,2.1412806462955474,0.0,8.075896663919451,43887.76227888703
Electrolyser_Capex_M10,FRA,FRA_FR10,PV,Alkaline,2030,2.114258878679122,0.0,7.187599271539833,45012.65631494805
Electrolyser_Capex_P10,FRA,FRA_FR10,PV,Alkaline,2020,2.207486887586009,0.0,9.597051320282702,43190.50273407806
Electrolyser_Capex_P10,FRA,FRA_FR10,PV,Alkaline,2025,2.1979968576016873,0.0,8.451336091057993,44583.74691351866
Electrolyser_Capex_P10,FRA,FRA_FR10,PV,Alkaline,2030,2.169188381590378,0.0,7.512990232078308,45725.022565073974
Wacc_M10,FRA,FRA_FR10,PV,Alkaline,2020,2.1976414411832645,0.0,8.852337731200144,43076.83417253737
Wacc_M10,FRA,FRA_FR10,PV,Alkaline,2025,2.1834856358472896,0.0,7.79637572586584,44408.51756235656
Wacc_M10,FRA,FRA_FR10,PV,Alkaline,2030,2.1552066912817294,0.0,6.93259427095209,45546.7964711478
Wacc_P10,FRA,FRA_FR10,PV,Alkaline,2020,2.192546194419265,0.0,9.733958045983098,43017.50746172181
