id_init,Ctry_iso3,Id,Longitude,Latitude
877,CAN,"89",-133.4999885410,64.1236001620
878,CAN,"90",-133.4999885410,61.1236001620
879,CAN,"91",-133.4999885410,58.1236001620
880,CAN,"92",-133.4999885410,55.1236001620
881,CAN,"93",-133.4999885410,52.1236001620
933,CAN,"94",-130.4999885410,70.1236001620
934,CAN,"95",-130.4999885410,67.1236001620
935,CAN,"96",-130.4999885410,64.1236001620
936,CAN,"97",-130.4999885410,61.1236001620
937,CAN,"98",-130.4999885410,58.1236001620
938,CAN,"99",-130.4999885410,55.1236001620
939,CAN,"100",-130.4999885410,52.1236001620
991,CAN,"101",-127.4999885410,70.1236001620
992,CAN,"102",-127.4999885410,67.1236001620
993,CAN,"103",-127.4999885410,64.1236001620
994,CAN,"104",-127.4999885410,61.1236001620
995,CAN,"105",-127.4999885410,58.1236001620
996,CAN,"106",-127.4999885410,55.1236001620
997,CAN,"107",-127.4999885410,52.1236001620
998,CAN,"108",-127.4999885410,49.1236001620
1047,CAN,"109",-124.4999885410,76.1236001620
1048,CAN,"110",-124.4999885410,73.1236001620
1049,CAN,"111",-124.4999885410,70.1236001620
1050,CAN,"112",-124.4999885410,67.1236001620
1051,CAN,"113",-124.4999885410,64.1236001620
1052,CAN,"114",-124.4999885410,61.1236001620
1053,CAN,"115",-124.4999885410,58.1236001620
1054,CAN,"116",-124.4999885410,55.1236001620
1055,CAN,"117",-124.4999885410,52.1236001620
1056,CAN,"118",-124.4999885410,49.1236001620
1105,CAN,"119",-121.4999885410,76.1236001620
1106,CAN,"120",-121.4999885410,73.1236001620
1107,CAN,"121",-121.4999885410,70.1236001620
1108,CAN,"122",-121.4999885410,67.1236001620
1109,CAN,"123",-121.4999885410,64.1236001620
1110,CAN,"124",-121.4999885410,61.1236001620
1111,CAN,"125",-121.4999885410,58.1236001620
1112,CAN,"126",-121.4999885410,55.1236001620
1113,CAN,"127",-121.4999885410,52.1236001620
1114,CAN,"128",-121.4999885410,49.1236001620
1163,CAN,"129",-118.4999885410,76.1236001620
1164,CAN,"130",-118.4999885410,73.1236001620
1165,CAN,"131",-118.4999885410,70.1236001620
1166,CAN,"132",-118.4999885410,67.1236001620
1167,CAN,"133",-118.4999885410,64.1236001620
1168,CAN,"134",-118.4999885410,61.1236001620
1169,CAN,"135",-118.4999885410,58.1236001620
1170,CAN,"136",-118.4999885410,55.1236001620
1171,CAN,"137",-118.4999885410,52.1236001620
1172,CAN,"138",-118.4999885410,49.1236001620
1220,CAN,"139",-115.4999885410,79.1236001620
1221,CAN,"140",-115.4999885410,76.1236001620
1222,CAN,"141",-115.4999885410,73.1236001620
1223,CAN,"142",-115.4999885410,70.1236001620
1224,CAN,"143",-115.4999885410,67.1236001620
1225,CAN,"144",-115.4999885410,64.1236001620
1226,CAN,"145",-115.4999885410,61.1236001620
1227,CAN,"146",-115.4999885410,58.1236001620
1228,CAN,"147",-115.4999885410,55.1236001620
1229,CAN,"148",-115.4999885410,52.1236001620
1230,CAN,"149",-115.4999885410,49.1236001620
1278,CAN,"150",-112.4999885410,79.1236001620
1279,CAN,"151",-112.4999885410,76.1236001620
1280,CAN,"152",-112.4999885410,73.1236001620
1281,CAN,"153",-112.4999885410,70.1236001620
1282,CAN,"154",-112.4999885410,67.1236001620
1283,CAN,"155",-112.4999885410,64.1236001620
1284,CAN,"156",-112.4999885410,61.1236001620
1285,CAN,"157",-112.4999885410,58.1236001620
1286,CAN,"158",-112.4999885410,55.1236001620
1287,CAN,"159",-112.4999885410,52.1236001620
1288,CAN,"160",-112.4999885410,49.1236001620
1336,CAN,"161",-109.4999885410,79.1236001620
1337,CAN,"162",-109.4999885410,76.1236001620
1338,CAN,"163",-109.4999885410,73.1236001620
1339,CAN,"164",-109.4999885410,70.1236001620
1340,CAN,"165",-109.4999885410,67.1236001620
1341,CAN,"166",-109.4999885410,64.1236001620
1342,CAN,"167",-109.4999885410,61.1236001620
1343,CAN,"168",-109.4999885410,58.1236001620
1344,CAN,"169",-109.4999885410,55.1236001620
1345,CAN,"170",-109.4999885410,52.1236001620
1346,CAN,"171",-109.4999885410,49.1236001620
1394,CAN,"172",-106.4999885410,79.1236001620
1395,CAN,"173",-106.4999885410,76.1236001620
1396,CAN,"174",-106.4999885410,73.1236001620
1397,CAN,"175",-106.4999885410,70.1236001620
1398,CAN,"176",-106.4999885410,67.1236001620
1399,CAN,"177",-106.4999885410,64.1236001620
1400,CAN,"178",-106.4999885410,61.1236001620
1401,CAN,"179",-106.4999885410,58.1236001620
1402,CAN,"180",-106.4999885410,55.1236001620
1403,CAN,"181",-106.4999885410,52.1236001620
