Id_cell,Id_terminal,Distance,Ctry_iso3
CAN_C00303,CAN01,1892915.49996967,CAN
CAN_C00304,CAN01,1618288.38062142,CAN
CAN_C00305,CAN01,1308228.73095393,CAN
CAN_C00306,CAN01,1089488.2561089,CAN
CAN_C00307,CAN01,907473.569398282,CAN
CAN_C00308,CAN01,827065.50382939,CAN
CAN_C00309,CAN01,888852.854478761,CAN
CAN_C00310,CAN01,4088395.51411684,CAN
CAN_C00311,CAN01,3892216.92275563,CAN
CAN_C00312,CAN01,3002185.50024333,CAN
CAN_C00313,CAN01,2802392.92251726,CAN
CAN_C00314,CAN01,2468489.43780763,CAN
CAN_C00315,CAN01,2230466.7082293998,CAN
CAN_C00316,CAN01,1817218.17239271,CAN
CAN_C00317,CAN01,1525700.88075585,CAN
CAN_C00318,CAN01,1224889.97094357,CAN
CAN_C00319,CAN01,946435.209762831,CAN
CAN_C00320,CAN01,716654.173139645,CAN
CAN_C00321,CAN01,597839.235530462,CAN
CAN_C00322,CAN01,4086241.36242215,CAN
CAN_C00323,CAN01,3913940.31382945,CAN
CAN_C00324,CAN01,2752038.57158414,CAN
CAN_C00325,CAN01,2454291.64200696,CAN
CAN_C00326,CAN01,2136642.23480247,CAN
CAN_C00327,CAN01,1729999.42915376,CAN
CAN_C00328,CAN01,1464275.05711036,CAN
CAN_C00329,CAN01,1148295.00291974,CAN
CAN_C00330,CAN01,837309.110267319,CAN
CAN_C00331,CAN01,559801.462894986,CAN
CAN_C00332,CAN01,416854.13826989295,CAN
CAN_C00333,CAN01,4091514.2280414,CAN
CAN_C00334,CAN01,3946762.2729978994,CAN
CAN_C00335,CAN01,2716069.78350255,CAN
CAN_C00336,CAN01,2449640.51458226,CAN
CAN_C00337,CAN01,2111027.50601893,CAN
CAN_C00338,CAN01,1889431.49726089,CAN
CAN_C00339,CAN01,1383632.1511253,CAN
CAN_C00340,CAN01,1107830.19067049,CAN
CAN_C00341,CAN01,776742.140023899,CAN
CAN_C00342,CAN01,447052.88791567297,CAN
CAN_C00343,CAN01,165876.72636598902,CAN
CAN_C00344,CAN01,124442.916018293,CAN
CAN_C00345,CAN01,4122429.80951478,CAN
CAN_C00346,CAN01,2394665.50892356,CAN
CAN_C00347,CAN01,2106882.44624793,CAN
