route name,olon,olat,dlon,dlat
DEU-DEHAM_KOR-KRKAN,9.99302,53.55073,127.7,34.93333333
DEU-DEHAM_KOR-KRINC,9.99302,53.55073,126.6166667,37.45
DEU-DEHAM_COM-KMMUT,9.99302,53.55073,44.38333333,-12.15
DEU-DEHAM_KOR-KRPUS,9.99302,53.55073,129.05,35.13333333
DEU-DEHAM_KOR-KRTSN,9.99302,53.55073,126.3666667,37
DEU-DEHAM_JPN-JPSEN,9.99302,53.55073,130.25,31.81666667
DEU-DEHAM_JPN-JPTYO,9.99302,53.55073,139.75,35.68333333
DEU-DEHAM_JPN-JPYOK,9.99302,53.55073,139.65,35.45
DEU-DEHAM_KHM-KHKOS,9.99302,53.55073,103.5166667,10.6
DEU-DEHAM_MDG-MGEHL,9.99302,53.55073,46.95,-25.06666667
DEU-DEHAM_MDG-MGNOS,9.99302,53.55073,48.25,-13.33333333
DEU-DEHAM_MMR-MMTLA,9.99302,53.55073,96.25,16.65
DEU-DEHAM_LBY-LYKHO,9.99302,53.55073,14.26666667,32.65
DEU-DEHAM_MAR-MACAS,9.99302,53.55073,-7.6,33.58333333
DEU-DEHAM_MDA-MDGIU,9.99302,53.55073,28.18333333,45.46666667
DEU-DEHAM_MNE-MEBAR,9.99302,53.55073,19.08333333,42.08333333
DEU-DEHAM_LBN-LBBEY,9.99302,53.55073,35.48333333,33.83333333
DEU-DEHAM_LKA-LKCMB,9.99302,53.55073,79.85,6.916666667
DEU-DEHAM_LBR-LRMLW,9.99302,53.55073,-10.8,6.3
DEU-DEHAM_KOR-KRUSN,9.99302,53.55073,129.3166667,35.53333333
DEU-DEHAM_KWT-KWSAA,9.99302,53.55073,48.13333333,29.03333333
DEU-DEHAM_KWT-KWSWK,9.99302,53.55073,47.93333333,29.35
DEU-DEHAM_CYM-KYGEC,9.99302,53.55073,-81.38333333,19.3
DEU-DEHAM_NZL-NZNPE,9.99302,53.55073,176.9,-39.46666667
DEU-DEHAM_NZL-NZNSN,9.99302,53.55073,173.2666667,-41.25
DEU-DEHAM_NZL-NZPOE,9.99302,53.55073,170.6,-45.81666667
DEU-DEHAM_NZL-NZTRG,9.99302,53.55073,176.1666667,-37.68333333
DEU-DEHAM_NZL-NZAKL,9.99302,53.55073,174.8,-36.83333333
DEU-DEHAM_NZL-NZBLU,9.99302,53.55073,168.3166667,-46.6
DEU-DEHAM_NZL-NZLYT,9.99302,53.55073,172.7166667,-43.6
