Sensitivity,Country,Id_cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit
Default,MYS,MYS_C03344,PV,Alkaline,2050,Lcoh,2.4299604261847843,0.0,2.317152847726501,58690.3622567531,253904340.5685993
Default,MYS,MYS_C03345,PV,Alkaline,2050,Lcoh,2.4651563728782047,0.0,2.3437828217470145,58573.455940706874,583005786.5428838
Default,MYT,MYT_C02143,PV,Alkaline,2050,Lcoh,2.1407337209763635,0.0,2.111096177585849,61251.344802850275,10684113.698441567
Default,NAM,NAM_C02031,PV,Alkaline,2050,Lcoh,2.005871937386196,0.0,2.164940004078848,62521.95233882046,74258030.06523192
Default,NAM,NAM_C02032,PV,Alkaline,2050,Lcoh,1.979887429866444,0.0,2.1667185882595916,61973.671994796015,27293.67829473457
Default,NAM,NAM_C02033,PV,Alkaline,2050,Lcoh,2.0527441526025494,0.0,2.1884397140261456,62728.21996913956,1010568683.8566424
Default,NAM,NAM_C02034,PV,Alkaline,2050,Lcoh,2.0633148590656627,0.0,2.2256588746085457,61862.49474788289,1785268788.751479
Default,NAM,NAM_C02035,PV,Alkaline,2050,Lcoh,2.0435171390506137,0.0,2.2860641249275213,59849.69344418299,553075216.8428998
Default,NAM,NAM_C02036,PV,Alkaline,2050,Lcoh,2.018460649656568,0.0,2.344316849897519,57902.858385456726,98445717.54587796
Default,NAM,NAM_C02037,PV,Alkaline,2050,Lcoh,2.1518699384848285,0.0,2.2691638617609704,62275.85926831266,827007969.6955142
Default,NAM,NAM_C02038,PV,Alkaline,2050,Lcoh,2.1407337209763635,0.0,2.283007378371655,61691.86827578782,2497989404.509473
Default,NAM,NAM_C02039,PV,Alkaline,2050,Lcoh,2.0633148590656627,0.0,2.313425326649123,59487.12441406298,2540336321.063724
Default,NAM,NAM_C02040,PV,Alkaline,2050,Lcoh,2.0435171390506137,0.0,2.385764154161128,57319.22448449247,2454048087.8440514
Default,NAM,NAM_C02041,PV,Alkaline,2050,Lcoh,2.0633148590656627,0.0,2.4902778278589626,55215.00231036326,674110461.3140223
Default,NAM,NAM_C02042,PV,Alkaline,2050,Lcoh,2.188357663495203,0.0,2.303387445195545,61994.354945035775,492800139.2821661
Default,NAM,NAM_C02043,PV,Alkaline,2050,Lcoh,2.185278591010224,0.0,2.31780326908937,61549.18194879543,2441593625.685825
Default,NAM,NAM_C02044,PV,Alkaline,2050,Lcoh,2.1407337209763635,0.0,2.3422192384303253,60113.6203197633,1801415199.6409461
Default,NAM,NAM_C02045,PV,Alkaline,2050,Lcoh,2.1227080191108096,0.0,2.4188883870755333,57878.21162401437,1608696419.8417187
Default,NAM,NAM_C02046,PV,Alkaline,2050,Lcoh,2.1227080191108096,0.0,2.5169142598859624,55598.956253471464,729961332.6087353
Default,NAM,NAM_C02047,PV,Alkaline,2050,Lcoh,2.2322065199347843,0.0,2.326924897051811,62138.85223460732,320531343.2762958
Default,NAM,NAM_C02048,PV,Alkaline,2050,Lcoh,2.2322065199347843,0.0,2.3460205125850107,61627.025677621736,3963333.697849549
Default,NAM,NAM_C02049,PV,Alkaline,2050,Lcoh,2.2674024666282047,0.0,2.341861493923955,62359.134063067664,133838047.57643872
Default,NCL,NCL_C03279,PV,Alkaline,2050,Lcoh,2.1258854309650768,0.0,2.143313421347385,60053.64879673884,124226723.83855803
Default,NCL,NCL_C03280,PV,Alkaline,2050,Lcoh,2.1414297345706426,0.0,2.1494208118931706,60157.34708535836,113552876.60533279
Default,NCL,NCL_C03281,PV,Alkaline,2050,Lcoh,2.185278591010224,0.0,2.179365838187446,60089.42799692003,203530884.23944303
Default,NCL,NCL_C03282,PV,Alkaline,2050,Lcoh,2.1258854309650768,0.0,2.174921784813344,59169.62518835747,6529313.806897418
Default,NER,NER_C02279,PV,Alkaline,2050,Lcoh,1.8984968031379093,0.0,2.1282075043052657,62940.85715545206,520220033.644526
Default,NER,NER_C02280,PV,Alkaline,2050,Lcoh,1.979887429866444,0.0,2.212354653932663,62070.602588798356,1466344262.6488047
Default,NER,NER_C02281,PV,Alkaline,2050,Lcoh,1.8224561775657044,0.0,2.0403829240107743,64111.35075155263,978949004.3129653
Default,NER,NER_C02282,PV,Alkaline,2050,Lcoh,1.8984968031379093,0.0,2.1033732403881618,63693.90798976272,2113016522.5940406
Default,NER,NER_C02283,PV,Alkaline,2050,Lcoh,1.979887429866444,0.0,2.2108109084084653,62114.494575743694,1337755187.1387956
Default,NER,NER_C02284,PV,Alkaline,2050,Lcoh,1.7403323019477237,0.0,1.960422237974039,64991.30811697928,375061811.8602679
Default,NER,NER_C02285,PV,Alkaline,2050,Lcoh,1.7872602308722843,0.0,2.001334611539779,64635.91259423352,2807119525.708764
Default,NER,NER_C02286,PV,Alkaline,2050,Lcoh,1.8488531375857695,0.0,2.061438541584824,63989.0169542904,2953067801.5731125
Default,NER,NER_C02287,PV,Alkaline,2050,Lcoh,1.9086362604372833,0.0,2.159240124866718,62222.94173091045,1339357919.8142636
Default,NER,NER_C02288,PV,Alkaline,2050,Lcoh,1.7069236494223283,0.0,1.953858399302166,64489.274281883205,2107324059.0800169
Default,NER,NER_C02289,PV,Alkaline,2050,Lcoh,1.7538515783468889,0.0,1.97880456754014,64668.027278948415,3062901363.4905076
Default,NER,NER_C02290,PV,Alkaline,2050,Lcoh,1.8224561775657044,0.0,2.0271849561763107,64534.52882951318,2995840853.4874744
Default,NER,NER_C02291,PV,Alkaline,2050,Lcoh,1.8984968031379093,0.0,2.122909463373433,63100.01199782506,1397562231.0496733
Default,NER,NER_C02292,PV,Alkaline,2050,Lcoh,1.7403323019477237,0.0,1.9573237705754665,65095.66686345036,2513412911.8341174
Default,NER,NER_C02293,PV,Alkaline,2050,Lcoh,1.7872602308722843,0.0,1.9892297888283048,65034.78749281231,3005647581.637783
Default,NER,NER_C02294,PV,Alkaline,2050,Lcoh,1.8224561775657044,0.0,2.0334760724090626,64332.116613891565,2553201598.9262447
Default,NER,NER_C02295,PV,Alkaline,2050,Lcoh,1.8984968031379093,0.0,2.1154902641426423,63324.24469790125,626745128.784603
Default,NER,NER_C02296,PV,Alkaline,2050,Lcoh,1.7427153608384238,0.0,1.9604925330243723,65040.3754250573,214212002.69556528
Default,NER,NER_C02297,PV,Alkaline,2050,Lcoh,1.7872602308722843,0.0,1.9844665254883682,65193.09831432259,682122685.8201902
Default,NER,NER_C02298,PV,Alkaline,2050,Lcoh,1.7890475250403093,0.0,2.023815190075445,63945.32305066461,167335385.46343258
Default,NFK,NFK_C03283,PV,Alkaline,2050,Lcoh,2.275917055326949,0.0,2.4030453796576623,55871.429846550556,1103325.0442684689
Default,NGA,NGA_C02299,PV,Alkaline,2050,Lcoh,2.2412710453006137,0.0,2.520711370404247,58754.096414163665,29874609.18458553
Default,NGA,NGA_C02300,PV,Alkaline,2050,Lcoh,2.3579760078661773,0.0,2.5952448752438344,58944.18215291853,153604961.75505313
Default,NGA,NGA_C02301,PV,Alkaline,2050,Lcoh,2.039280589911591,0.0,2.2443290393120137,62279.50903243684,1350539830.8913949
Default,NGA,NGA_C02302,PV,Alkaline,2050,Lcoh,2.185278591010224,0.0,2.4198556417671773,60255.046542916025,2172375558.138675
Default,NGA,NGA_C02303,PV,Alkaline,2050,Lcoh,2.4400998834841583,0.0,2.666361089606511,58653.54457022963,1933335589.2858038
Default,NGA,NGA_C02304,PV,Alkaline,2050,Lcoh,2.63986876258577,0.0,2.8851867445392663,57077.5107946428,155770955.86413282
Default,NGA,NGA_C02305,PV,Alkaline,2050,Lcoh,1.9600897098513947,0.0,2.2018173477496163,61978.20850315432,1518638923.488096
Default,NGA,NGA_C02306,PV,Alkaline,2050,Lcoh,2.185278591010224,0.0,2.384482207046978,61159.425859761424,2558666565.646418
Default,NGA,NGA_C02307,PV,Alkaline,2050,Lcoh,2.431747720352809,0.0,2.664192366923373,58569.67365149025,2307843048.006276
Default,NGA,NGA_C02308,PV,Alkaline,2050,Lcoh,2.659666482600819,0.0,2.8996311001921686,57077.93555023968,733296571.9146023
Default,NGA,NGA_C02309,PV,Alkaline,2050,Lcoh,1.9336927498313292,0.0,2.1559915733420096,62795.43980366419,1489248067.35056
Default,NGA,NGA_C02310,PV,Alkaline,2050,Lcoh,2.0492771520730457,0.0,2.3064283368458303,60765.243228945554,2728473921.5408325
Default,NGA,NGA_C02311,PV,Alkaline,2050,Lcoh,2.2412710453006137,0.0,2.4864946584654413,59571.720361665924,1597275729.0684712
Default,NGA,NGA_C02312,PV,Alkaline,2050,Lcoh,1.9336927498313292,0.0,2.1541689961570265,62849.26112207102,1309940374.0205085
Default,NGA,NGA_C02313,PV,Alkaline,2050,Lcoh,2.005871937386196,0.0,2.2602232344707813,61212.02021657336,1324186806.6295555
Default,NGA,NGA_C02314,PV,Alkaline,2050,Lcoh,2.0633148590656627,0.0,2.3683077824474466,59408.89895069535,66152063.14589279
Default,NIC,NIC_C01548,PV,Alkaline,2050,Lcoh,1.9947357198777305,0.0,2.330941478753126,60173.31942174996,75200887.64171635
Default,NIC,NIC_C01549,PV,Alkaline,2050,Lcoh,2.0435171390506137,0.0,2.427210719915498,58620.75069960594,26540844.79457885
Default,NIC,NIC_C01550,PV,Alkaline,2050,Lcoh,2.1227080191108096,0.0,2.408404333243676,60493.58578671595,2120725798.1232946
Default,NIC,NIC_C01551,PV,Alkaline,2050,Lcoh,2.1602221016161773,0.0,2.553495825708037,57648.06971015244,347722872.63095754
Default,NIC,NIC_C01552,PV,Alkaline,2050,Lcoh,2.0435171390506137,0.0,2.4644076942754256,57725.89091687037,52584635.71236604
Default,NIC,NIC_C01553,PV,Alkaline,2050,Lcoh,2.1227080191108096,0.0,2.4984596091493474,58288.693196704655,414966156.7376025
Default,NIC,NIC_C01554,PV,Alkaline,2050,Lcoh,2.152391948680538,0.0,2.578447911689966,56954.041506513604,56051935.88077077
Default,NIU,NIU_C00017,PV,Alkaline,2050,Lcoh,2.4220323963374493,0.0,2.362483522372021,59204.5116865636,5279923.473566628
Default,NLD,NLD_C02541,Hybrid,Alkaline,2050,Lcoh,1.2961851982192094,1.2856956196663691,2.503499550011986,111830.6346011106,447280135.28360194
Default,NLD,NLD_C02542,Hybrid,Alkaline,2050,Lcoh,1.1185057054213223,1.4012095691038162,2.443498486271362,118549.69729156875,245339942.47357437
Default,NOR,NOR_C02622,Hybrid,Alkaline,2050,Lcoh,0.5165137218373858,1.5968959454038818,2.3544987566867697,120732.70432513795,285678116.7177413
Default,NOR,NOR_C02623,Hybrid,Alkaline,2050,Lcoh,1.3058405676681768,1.5920721015039738,2.7934980535152345,111748.96219918123,52808516.75010476
Default,NOR,NOR_C02624,Hybrid,Alkaline,2050,Lcoh,1.60861124043199,1.4824416882716849,3.0894992429430466,99684.92037607137,106734496.99093322
Default,NOR,NOR_C02625,PV,Alkaline,2050,Lcoh,2.640874115555284,0.0,3.312454095425525,43036.5369606689,1010921811.5010793
Default,NOR,NOR_C02626,Hybrid,Alkaline,2050,Lcoh,1.6312254843990377,1.4400625150834547,3.0574993019699384,99111.12865164572,453034468.82312673
Default,NOR,NOR_C02627,Hybrid,Alkaline,2050,Lcoh,1.063063035335889,1.3425819851852874,2.5564980051220125,105313.49238149756,1624867.029797849
Default,NOR,NOR_C02628,PV,Alkaline,2050,Lcoh,2.5782758558722843,0.0,3.3392763561636083,41997.317562110686,513867149.2666468
Default,NOR,NOR_C02629,PV,Alkaline,2050,Lcoh,2.544867203346889,0.0,3.1973210868762214,43493.111809209855,1079277963.6575468
Default,NOR,NOR_C02630,PV,Alkaline,2050,Lcoh,2.4299604261847843,0.0,3.228098067755569,41763.054804072606,213979180.97561613
