Sensitivity,Country,Id_cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit
Default,MLI,MLI_C01672,Hybrid,Alkaline,2050,Lcoh,1.564528411594138,0.0,2.576499583946536,61618.75752826733,3188333766.3630786
Default,MTQ,MTQ_C01545,Hybrid,Alkaline,2050,Lcoh,1.0123263050829423,0.9689505896744003,2.3354990377202087,110500.68152884328,16730800.045887504
Default,MTQ,MTQ_C01546,Hybrid,Alkaline,2050,Lcoh,0.7596301994462867,1.1996642914181126,2.2674978338443115,122957.76502736918,12789989.861089498
Default,MSR,MSR_C01547,Hybrid,Alkaline,2050,Lcoh,1.0123523805581964,0.9689505896744003,2.33549927089777,110501.32278066131,2883788.831757605
Default,NIC,NIC_C01548,Hybrid,Alkaline,2050,Lcoh,1.6673444791171845,0.0,2.8914992381572167,56840.24869778689,89966949.61611508
Default,NIC,NIC_C01549,Hybrid,Alkaline,2050,Lcoh,1.7084646864964321,0.0,2.9764979678432706,56111.26582449365,31745854.421976905
Default,NIC,NIC_C01550,Hybrid,Alkaline,2050,Lcoh,1.6420697928247814,0.0,2.8334978867569536,57426.90030142616,2741467919.136032
Default,NIC,NIC_C01551,Hybrid,Alkaline,2050,Lcoh,1.7376720444018494,0.0,3.0804995509880286,54828.08152428169,432278712.841599
Default,NIC,NIC_C01552,Hybrid,Alkaline,2050,Lcoh,1.0785044463665423,1.022527161156309,2.876498564048822,104107.81136994169,50652136.89927471
Default,NIC,NIC_C01553,Hybrid,Alkaline,2050,Lcoh,1.114841852239859,0.9216924446434278,2.96149925517614,96133.27404125313,428645081.61697406
Default,NIC,NIC_C01554,Hybrid,Alkaline,2050,Lcoh,1.8579106779312407,0.0,3.3784990366241665,52294.34228289879,64936240.97799266
Default,HND,HND_C01538,Hybrid,Alkaline,2050,Lcoh,1.7249660097299075,0.0,2.950495843166322,56455.68415992419,761580241.2031387
Default,HND,HND_C01539,Hybrid,Alkaline,2050,Lcoh,1.6693722483814195,0.0,2.8654965493085185,56884.0594188297,720943870.9825891
Default,HND,HND_C01540,Hybrid,Alkaline,2050,Lcoh,1.7054907167926836,0.0,2.94949880152207,56048.72718434206,1285938048.4235182
Default,HND,HND_C01541,Hybrid,Alkaline,2050,Lcoh,1.6566767999083962,0.0,2.8084964942987782,57750.91656761036,528300588.020844
Default,HND,HND_C01542,Hybrid,Alkaline,2050,Lcoh,1.0606838764817095,1.0468895538604983,2.8524983527296364,105116.57366515617,77947131.53350355
Default,JAM,JAM_C01543,Hybrid,Alkaline,2050,Lcoh,1.7099668063123448,0.0029865840968678666,2.846493314252996,54587.01041182725,29166898.259556435
Default,JAM,JAM_C01544,Hybrid,Alkaline,2050,Lcoh,1.7065086661686852,0.0,2.8254965718929816,54752.87291547436,302233083.7237341
Default,PRI,PRI_C01561,Hybrid,Alkaline,2050,Lcoh,1.628690327876803,0.015225615465939103,2.6644983908926676,57132.5922106632,232159513.8896486
Default,PRI,PRI_C01562,Hybrid,Alkaline,2050,Lcoh,1.4159290046107653,0.37236211547972975,2.5774989974964893,76005.10703213244,48518804.3621201
Default,BLM,BLM_C01565,Hybrid,Alkaline,2050,Lcoh,1.2960419683577773,0.5469860432037855,2.4194993869211263,86697.20344822429,641182.4668414559
Default,KNA,KNA_C01568,Hybrid,Alkaline,2050,Lcoh,1.0123263050829423,0.9689505896744003,2.3354990377202087,110500.68152884328,5011004.331375206
Default,PAN,PAN_C01555,Hybrid,Alkaline,2050,Lcoh,1.8585769012311202,0.0,3.181499377890768,52306.84894990137,290576443.0199482
Default,PAN,PAN_C01556,Hybrid,Alkaline,2050,Lcoh,1.843277910033423,0.0,3.205498084827553,51621.457680022504,376155102.665567
Default,PAN,PAN_C01557,Hybrid,Alkaline,2050,Lcoh,1.868303949576842,0.0,3.1504981714555718,53012.45755663297,574298312.7833153
Default,PAN,PAN_C01558,Hybrid,Alkaline,2050,Lcoh,1.8835361400126995,0.0,3.3324989144051873,50388.673741136205,491379017.68841225
Default,PAN,PAN_C01559,Hybrid,Alkaline,2050,Lcoh,1.8026313488152699,0.0,3.286499242698204,49587.221865419255,59532121.7159315
Default,PAN,PAN_C01560,Hybrid,Alkaline,2050,Lcoh,2.077996969409055,0.0,3.5144985279158663,51162.57227110275,221642196.79414254
Default,SUR,SUR_C01577,Hybrid,Alkaline,2050,Lcoh,0.757866783860262,1.2676491731866253,2.6374986514149796,125216.40368247443,278271742.19665766
Default,SUR,SUR_C01578,Hybrid,Alkaline,2050,Lcoh,1.6335302250777268,0.0,2.815499206153148,59502.69965603609,3170649499.356124
Default,SUR,SUR_C01579,Hybrid,Alkaline,2050,Lcoh,1.6470675547814593,0.0,2.865497431686985,58778.736000707926,332950310.1902508
Default,SUR,SUR_C01580,Hybrid,Alkaline,2050,Lcoh,1.2303652024248777,0.7654815724210402,2.8604993129868395,95851.9562697624,53770.05258964397
Default,SUR,SUR_C01581,Hybrid,Alkaline,2050,Lcoh,1.700056656941064,0.0,2.9614980767250456,58070.762177744524,440933.2199498949
Default,SUR,SUR_C01574,Hybrid,Alkaline,2050,Lcoh,1.7341113335338214,0.0,2.989498896735161,58291.44559012597,14040330.108765624
Default,SUR,SUR_C01575,Hybrid,Alkaline,2050,Lcoh,1.713948447823855,0.0,2.9964993686443946,57702.09306511565,645916550.9899199
Default,SUR,SUR_C01576,Hybrid,Alkaline,2050,Lcoh,1.7720820158010215,0.0,3.2624988926512857,54181.5534714553,308373.8867680908
Default,TTO,TTO_C01582,Hybrid,Alkaline,2050,Lcoh,1.7389964633711652,0.0,2.8344979443296574,57684.08920483831,147672636.57353106
Default,TCA,TCA_C01583,Hybrid,Alkaline,2050,Lcoh,1.2088884184497075,0.7846161919644836,2.4984990833196945,96521.56140768774,504168.5223349198
